stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,29,12,0,4,0,0,3,13,0,5,0,2,1,0,0,48,0,0,23,122,79,0,1,2,0,0,8,5,2,26,51,0,0,7,0,0
 24-34,0,0,2.46,10.67,0,0,19.7,0.82,0,3.28,2.46,0.82,0.82,0,0,0,0.82,0,66.49,0,0,25.45,247.9,4.1,1.64,0.82,0,0,0,0,2.46,0.82,2.46,45.15,0,0,17.24,0,0
 36-46,0,0,0.81,4.83,0,0,50.76,0,1.61,20.95,0,0,0.81,0,0.81,0.81,1.61,0.81,45.12,0,3.22,9.67,203.83,3.22,2.42,1.61,0,0,0.81,0,0,0,0.81,36.26,0,0,6.45,0,0
 48-58,0,0,0,3.44,0,0,53.94,1.15,2.3,28.12,0,0,0.57,0,0,0,1.72,0.57,26.4,0,2.87,5.16,102.14,0.57,0.57,0,0,0.57,0.57,0,0.57,0,0,24.1,0,0.57,4.02,0,0.57
 60-70,0,0,0,1.96,0,0,167.84,0,0,41.22,2.94,0,0,0,0,0,0.98,0,61.84,0.98,0.98,4.91,63.8,0,2.94,0,0,0.98,0,0,1.96,0,0,20.61,0,1.96,6.87,0,0.98
 72-82,0,0,0,4.91,0.98,0,76.57,1.96,0,17.67,1.96,0,1.96,0,0,0,1.96,0,35.34,1.96,4.91,2.94,28.47,0,1.96,0.98,0,0,0.98,0,0,0,0,3.93,0.98,0,17.67,0,0.98
 84-94,0,0,0,8.5,0,0,54.16,1.06,1.06,26.55,1.06,0,1.06,1.06,0,0,3.19,1.06,43.54,1.06,4.25,7.43,32.92,2.12,0,0,0,0,2.12,0,0,0,0,2.12,0,1.06,13.81,2.12,2.12
 96-106,0,0,0,10.93,0,1.09,29.51,0,0,12.02,4.37,0,1.09,1.09,0,0,1.09,0,28.41,0,0,2.19,26.23,0,5.46,0,0,0,4.37,0,0,0,0,5.46,1.09,1.09,21.86,0,0
108-118,0,1.53,0,2.3,0,0.77,23.74,0.77,2.3,16.85,3.06,0,0.77,0,0,0.77,2.3,0,22.98,0,1.53,8.43,32.94,0,0,1.53,0,0,0,0,2.3,0,0,1.53,2.3,0.77,13.02,2.3,2.3
120,0,0,0,5.88,0,0,23.52,0,1.96,15.68,3.92,0,1.96,0,0,0,0,0,19.6,1.96,3.92,9.8,21.56,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0,11.76,0,0
