stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,2095.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1716.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,26.29,0,34.17,0,0,63.09,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,559.92,21.03,0,0,191.9,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,12.59,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,324.14,9.44,0,0,116.44,0,0,3.15,0,9.44,3.15,0,0,0,0,0,0
 14-21,1,0,1,6,28,8,17,0,0,0,6,2,0,1,0,0,0,0,0,0,13,0,0,17,276,6,1,5,9,0,1,0,35,2,31,82,0,0,2,0,0
 24-34,0,0,0.82,0.82,3.28,0,39.4,0,0,0,5.75,0,0,0.82,0,0,0,0.82,1.64,0.82,19.7,0.82,0,12.31,441.62,2.46,3.28,1.64,0,0,6.57,0,0,0,9.03,74.7,0,0,5.75,0,0.82
 36-46,0,0,0,0,1.61,0,51.56,0,0.81,0.81,12.89,0,0,0.81,0,0,0.81,0,0,0,33.03,0,0,4.03,387.53,0.81,1.61,3.22,0,0,5.64,0,0,1.61,0,82.98,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.87,0,110.17,0,0,2.3,29.26,0.57,0,0.57,0,0.57,0,0,0,0.57,49.92,0,2.87,8.03,346,0,1.72,1.72,0,1.72,1.15,0,0,1.15,0,58.53,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,139.38,0,0,0.98,20.61,0,0,0.98,0.98,0,0,0,0.98,0,33.37,0,2.94,1.96,305.25,0,0.98,0,0,0,0.98,0,0,0,0,44.17,0,0.98,5.89,0,0.98
 72-82,0,0,0.98,0,7.85,0.98,116.82,0,1.96,2.94,27.49,0.98,0,1.96,0.98,0,0.98,0.98,0.98,0,42.21,0,1.96,7.85,255.23,0,2.94,1.96,0,0.98,1.96,0,0,0,0,26.5,1.96,0,7.85,0.98,0
 84-94,0,0,0,0,4.25,0,62.66,0,0,1.06,18.05,1.06,0,0,1.06,2.12,0,0,0,0,35.05,0,1.06,0,93.46,0,3.19,3.19,0,0,8.5,0,0,1.06,0,5.31,1.06,1.06,5.31,2.12,0
 96-106,0,0,2.19,0,2.19,2.19,42.62,0,0,1.09,14.21,1.09,0,1.09,1.09,0,1.09,0,0,0,22.95,0,1.09,7.65,80.87,0,0,5.46,0,0,2.19,0,0,1.09,0,1.09,1.09,0,8.74,1.09,0
108-118,0,0,1.53,0,5.36,0,36.77,0.77,0.77,0.77,13.02,0,0,0,0.77,0,1.53,0,0,0,23.74,0,0,1.53,85.79,0,0.77,2.3,0,0.77,2.3,0,0,0,0,3.83,0,0,5.36,0.77,1.53
120,0,0,0,0,3.92,1.96,23.52,0,0,0,13.72,1.96,0,0,0,0,1.96,0,0,0,5.88,0,0,7.84,82.31,1.96,0,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,0
