stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,2,1,0,0,0,0,0,0,1,13,0,0,1,0,8,0
 24-34,0,0,0.82,0,0,0,0,2.46,0,10.67,1.64,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0,0,0,0.81,12.09,0,0,0,0,1.61,0
 48-58,0,0,5.16,0,0.57,0,0,1.15,0,16.64,0,0,0,0,1.72,0
 60-70,0,0,3.93,0.98,0.98,1.96,0,0.98,0,9.82,0,0,0,0,0.98,0
 72-82,0,0,2.94,0,0.98,0,0,1.96,0,8.83,0,0,0,0,1.96,0
 84-94,0,0,3.19,1.06,0,1.06,0,2.12,0,11.68,1.06,0,0,0,1.06,0
 96-106,0,0,2.19,0,0,1.09,1.09,2.19,0,6.56,0,1.09,0,0,0,1.09
108-118,0.77,0,1.53,0,0,2.3,0,0.77,0,3.06,0,0,0,0,0,0
120,0,0,1.96,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0
