stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,12.26,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,22.03,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,2,0,0,0,5,0,3,0,0,1,0,0,0,3,0,0,1,48,1,0,3,0,0,0,0,0,0,0,21,0,0,1
 24-34,0,0,0,2.46,0,0,7.39,0,0,1.64,0.82,0.82,0,0,0,4.1,0,2.46,0,0.82,0.82,0,0.82,66.49,0.82,0,4.1,0,0,20.52,0,0.82,0,0.82,15.6,0,0,2.46
 36-46,0,0,0,3.22,0,0,9.67,0,0,0,3.22,0,0,0,0,1.61,0,2.42,0,3.22,0.81,0,0.81,42.7,0,0.81,2.42,0,0,18.53,0,0,0,0,20.14,0,0,3.22
 48-58,0,0,0,0.57,0.57,0,9.18,0.57,0.57,2.3,9.18,0.57,0,0,0,2.3,0,1.72,0,3.44,0,0,0.57,25.82,0,1.72,2.3,0,0,11.48,0,0.57,0,0,10.33,0,0,4.59
 60-70,0,0,0,2.94,0,0,17.67,0.98,1.96,2.94,18.65,0,0,0,0,1.96,0,0.98,0,14.72,2.94,0,0,19.63,0.98,0.98,9.82,0,0,22.58,0,0.98,0,0,9.82,0.98,0.98,2.94
 72-82,0,0,0.98,1.96,0,0,10.8,0,0,2.94,13.74,0.98,0,0,0,4.91,0,0,0,7.85,0,0.98,0,18.65,0,0,5.89,0,0,18.65,0,0.98,0,0,1.96,0.98,0,6.87
 84-94,0,0,0,5.31,0,0,18.05,0,0,5.31,14.87,6.37,1.06,0,1.06,3.19,0,3.19,1.06,6.37,4.25,0,0,15.93,1.06,1.06,14.87,0,0,70.09,0,0,0,0,5.31,1.06,1.06,13.81
 96-106,0,0,0,5.46,1.09,0,14.21,0,0,2.19,7.65,7.65,0,2.19,0,13.11,1.09,2.19,1.09,5.46,4.37,0,1.09,14.21,0,2.19,8.74,0,0,56.83,0,2.19,0,0,1.09,1.09,0,3.28
108-118,0,0,0,6.13,1.53,0.77,11.49,0,1.53,3.06,6.89,7.66,0,0,0.77,8.43,2.3,0.77,2.3,8.43,4.6,0.77,0.77,9.19,0,1.53,15.32,0,0.77,33.7,0,2.3,0.77,0,3.06,0.77,0.77,3.06
120,0,0,0,9.8,0,0,1.96,0,0,0,5.88,0,0,0,1.96,7.84,0,3.92,1.96,7.84,0,0,3.92,5.88,0,0,3.92,0,0,27.44,0,1.96,0,0,0,1.96,0,3.92
