stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,6,4,0,0,0,0,0,0,0,0,42,5,25,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0.82,4.93,0,0.82,0,0,0.82,4.93,0.82,0,2.46,22.16,0,0,0,0,0,0,0,0.82,62.39,0.82,54.18,0,0,1.64,0,0
 36-46,0,0,0.81,0,2.42,3.22,0.81,0,0.81,0,2.42,0,0,0,0,0.81,4.83,0,0.81,3.22,13.7,1.61,0.81,0,0,0,0,0,0,42.7,0.81,56.4,0,0,0.81,0,0.81
 48-58,0,0,2.87,0,2.87,5.16,0,0.57,1.72,0,0.57,0,0,0,0,0,2.87,0,0,2.3,25.82,0,0.57,0,0,0,0,0,0,14.35,0,53.36,0,0,0,0,0
 60-70,0,0,1.96,0,6.87,1.96,0,0.98,5.89,0,0,0,0,0,0,0,14.72,0,0,0.98,27.48,0.98,0,1.96,0,0,0,0,0.98,12.76,0,66.74,0,0,0,0.98,0
 72-82,0,0,0,0.98,6.87,5.89,0,0,14.72,0,0,0,0,0.98,0,0,26.5,0,0,2.94,36.32,0,0.98,0.98,0.98,0,0,0,0.98,4.91,0,76.57,0.98,0,1.96,0,0.98
 84-94,0,0,6.37,1.06,9.56,7.43,0,0,3.19,0,1.06,1.06,0,0,0,0,14.87,0,0,3.19,29.74,0,1.06,4.25,0,0,3.19,0,2.12,9.56,0,35.05,0,0,0,1.06,0
 96-106,0,0,3.28,0,3.28,30.6,1.09,0,6.56,1.09,0,0,0,0,1.09,0,31.69,0,0,1.09,31.69,0,0,2.19,0,0,1.09,0,2.19,8.74,0,24.04,0,0,1.09,0,1.09
108-118,0,0.77,2.3,0,6.13,19.92,0,0,13.02,1.53,0,0,0,0,0.77,0.77,14.55,0,0,9.19,34.47,0,0.77,3.83,0,0.77,0,0,0,8.43,0,21.45,0,0.77,0,0.77,0
120,0,0,1.96,1.96,3.92,19.6,1.96,0,5.88,0,0,1.96,0,0,0,0,13.72,0,0,3.92,37.24,0,0,3.92,0,0,0,1.96,1.96,1.96,0,35.28,0,0,0,1.96,0
