stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,105.15,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,3.15,0,34.62,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,132.17,18.88,0,0,110.14,0,0,0,6.29,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,4,5,0,19,0,0,0,6,1,1,2,0,0,0,0,0,1,14,0,0,22,119,0,0,0,6,0,0,53,0,80,330,43,0,0,3,0,2
 24-34,0,0,1.64,0.82,4.1,0,0,45.97,191.26,0,3.28,3.28,0,0,4.1,0,3.28,0.82,0,0,4.93,36.12,0,0,44.33,192.9,4.1,1.64,0.82,0,0,3.28,0,1.64,119.84,197.01,54.18,0,0,10.67,0,9.03
 36-46,0,0,0.81,0,0.81,0,0,86.21,381.89,3.22,2.42,12.09,0.81,0,1.61,1.61,1.61,0.81,0,0.81,8.86,32.23,0,2.42,29,174.02,5.64,0.81,3.22,0,0,1.61,0.81,2.42,135.35,15.31,53.17,0,0,6.45,0,17.72
 48-58,0,0,0,0.57,3.44,0,0,166.4,401.09,0.57,2.3,35.58,0.57,0,3.44,0,2.3,2.87,0.57,2.3,9.18,84.35,0,4.02,52.22,139.43,2.87,1.15,0.57,0,0,2.87,0,2.87,140.01,0,52.79,0,0.57,5.74,0,29.26
 60-70,0,0,0,0,3.93,0,0,193.36,297.4,3.93,6.87,37.3,0,0,0.98,0.98,0,13.74,1.96,3.93,6.87,84.41,0.98,3.93,40.24,104.04,0.98,0,0,0.98,3.93,2.94,0,1.96,93.24,0,15.7,0,3.93,3.93,0,23.56
 72-82,0,0,0,0,6.87,3.93,12.76,164.92,219.89,0,6.87,52.03,3.93,0,2.94,0.98,1.96,14.72,0.98,0.98,4.91,104.06,0,5.89,32.39,96.2,0.98,0.98,3.93,0.98,4.91,6.87,0,3.93,50.06,0,9.82,0.98,4.91,10.8,1.96,13.74
 84-94,0,0,1.06,0,3.19,7.43,31.86,178.42,341.98,2.12,6.37,26.55,2.12,0,1.06,2.12,5.31,13.81,1.06,1.06,14.87,73.28,0,3.19,43.54,57.35,2.12,1.06,3.19,0,1.06,13.81,0,7.43,107.27,0,5.31,2.12,4.25,7.43,0,6.37
 96-106,0,0,0,0,4.37,8.74,36.06,169.39,583.58,3.28,2.19,24.04,4.37,0,4.37,5.46,8.74,17.49,1.09,13.11,12.02,80.87,1.09,2.19,40.44,96.17,3.28,2.19,6.56,0,2.19,24.04,0,14.21,109.28,0,5.46,3.28,8.74,29.51,4.37,15.3
108-118,0,0,1.53,0.77,6.13,4.6,76.6,160.85,453.45,1.53,1.53,18.38,3.83,0,2.3,2.3,4.6,22.21,0,12.26,6.89,42.13,0.77,2.3,49.02,69.7,1.53,0,2.3,0,1.53,6.89,0,4.6,98.04,0,4.6,1.53,7.66,4.6,3.06,8.43
120,1.96,0,1.96,0,9.8,1.96,21.56,74.47,250.85,3.92,5.88,15.68,5.88,0,1.96,1.96,1.96,1.96,0,7.84,5.88,39.2,1.96,3.92,58.79,48.99,7.84,0,0,0,3.92,11.76,1.96,5.88,27.44,0,0,0,7.84,5.88,0,1.96
