stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,122.59,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,39.43,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,6,4,0,0,1,0,0,0,2,0,24,1,0,0,0,0,0,4,4,3,0,0
 24-34,0,0,0,0.82,4.93,0,0,0,0,0.82,0,1.64,1.64,21.34,0,0,0,0,0.82,0,0,1.64,3.28,0,0
 36-46,0,0,0,2.42,3.22,0,1.61,0,0,0.81,0,4.83,0,25.78,0,0,0,0,1.61,0,0,0,1.61,0.81,0
 48-58,0,0,0,0,6.31,0,1.15,0,0,0,0,0.57,0.57,5.74,0,0.57,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,1.96,0.98,1.96,0,0,0,0.98,3.93,0.98,1.96,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,1.06,1.06,0,0,0,0,2.12,0,3.19,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,3.28,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0.77,0.77,0,0,0,0,0,3.83,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0
