stage,epidermis,eye,glial,mesenchyme,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0,0,1
 24-34,0,0,0,0,8.21,0.82,1.64
 36-46,0,0.81,0,0,33.03,0.81,6.45
 48-58,0,1.72,0,0,36.72,0.57,4.02
 60-70,0,6.87,0,1.96,72.63,0,9.82
 72-82,0.98,22.58,1.96,0.98,59.88,0.98,4.91
 84-94,0,11.68,1.06,1.06,27.61,0,1.06
 96-106,1.09,4.37,1.09,0,28.41,0,2.19
108-118,0,3.06,0,0,20.68,0,0.77
120,0,3.92,0,0,33.32,0,3.92
