stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,105.15,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,18.88,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,6.29,0,0,88.12,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,17,4,8,0,0,4,1,1,0,0,0,0,0,0,1,16,0,0,11,81,1,0,3,3,0,1,2,14,0,1,7,45,0,0,0,0,0
 24-34,0,0,0.82,0,8.21,0,10.67,0,0.82,3.28,0.82,0,0.82,0,0,0,0.82,0,0,16.42,0,0.82,9.03,153.5,0,0,0.82,0,0,3.28,0,0.82,0.82,0.82,0.82,41.04,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,19.34,0,0.81,10.47,0,0,0.81,0,0,0,0,0,0,17.72,0,0.81,9.67,102.32,0,0,1.61,0,0,3.22,0,0,0,0.81,0,29.81,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.3,0,21.23,0,0,10.33,0,0,0,0,0,0,0,0,0,11.48,0,0,1.72,50.49,0,0.57,0,0,0,1.72,0,0,0,0,0,22.95,0,0,0.57,0,0
 60-70,0,0,0.98,0,4.91,1.96,34.35,0,0,18.65,0.98,0.98,0.98,0,0,0,0.98,0,0,25.52,0,0.98,5.89,60.85,0,0,0.98,0,0.98,2.94,0,0,0,0,0,18.65,0,0,1.96,0,0.98
 72-82,0,0,0.98,0,5.89,2.94,39.27,0,0.98,21.6,0,0,0,0.98,0,0,2.94,0,0.98,46.14,0,0.98,1.96,65.77,0,0,0.98,0,0,0.98,0,0,0,0,0,12.76,0,0,1.96,0.98,0
 84-94,0,0,0,0,3.19,3.19,24.43,2.12,0,22.3,0,0,1.06,2.12,4.25,0,0,0,0,28.68,0,2.12,0,42.48,2.12,3.19,2.12,0,1.06,7.43,0,0,1.06,0,0,10.62,0,0,2.12,0,3.19
 96-106,0,0,0,0,6.56,3.28,20.76,1.09,1.09,27.32,1.09,0,1.09,2.19,0,0,3.28,2.19,1.09,34.97,1.09,1.09,7.65,36.06,0,3.28,6.56,0,1.09,5.46,0,0,0,0,0,5.46,1.09,1.09,4.37,1.09,1.09
108-118,0,0,0,0,8.43,4.6,27.57,2.3,2.3,18.38,2.3,0,0.77,3.83,0,3.06,0.77,1.53,0.77,32.17,0,1.53,3.83,57.45,0,0,0,0,0.77,2.3,0,0,0.77,0,0,3.06,0.77,0.77,0.77,2.3,0
120,0,0,0,0,13.72,1.96,17.64,0,1.96,21.56,0,0,1.96,3.92,0,0,1.96,1.96,0,33.32,0,1.96,7.84,56.83,1.96,1.96,3.92,0,0,3.92,1.96,0,0,0,0,1.96,0,0,1.96,0,0
