stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,2408.95,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,91.94,24.52,0,0,49.04,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,42.06,0,60.46,0,0,0,57.83,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,1132.98,42.06,0,0,507.34,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,107,0,12.59,0,100.7,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,1054.23,18.88,0,0,512.96,0,0,0,0,50.35,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,7,107,21,0,19,0,2,0,19,6,0,3,0,2,1,0,0,38,0,0,41,487,17,2,9,16,0,10,2,75,5,9,60,192,0,0,10,0,0
 24-34,0,0,0,0,26.27,4.93,0,22.16,0,0,0.82,12.31,0,0,4.93,0,4.93,0,0.82,5.75,67.31,0.82,0,41.86,489.23,4.93,10.67,6.57,0,0,11.49,0,1.64,0,1.64,7.39,147.75,0,0,27.09,0,2.46
 36-46,0,0,0,0,3.22,0,0,17.72,0.81,1.61,0,8.86,0,0,0,0.81,0,0,0,0,29.81,0,0,12.09,162.75,0.81,4.03,1.61,0,0,6.45,0,0,0,0,0,46.73,0,0,5.64,0,0
 48-58,0,0,0.57,0,4.59,0,0,41.31,0,1.15,2.87,21.23,0,0,1.15,1.15,0,0,0,0,55.66,0.57,1.72,14.35,126.81,0.57,5.16,0,0,0.57,3.44,0,0,0,0,0,39.02,0,0,5.16,0,0
 60-70,0,0,0,0,0,0,0,22.58,0.98,0,0,14.72,0,0,0.98,2.94,0,0,0.98,0,57.91,0,0.98,1.96,107.97,0.98,3.93,0.98,0,0,0.98,0,0,0,0,0,13.74,0,0,1.96,0.98,0
 72-82,0,0,0,0,0.98,0,0,22.58,0,0.98,0.98,30.43,0,0,1.96,1.96,0,0,0,1.96,50.06,0,0.98,9.82,64.79,0,9.82,3.93,0,0,5.89,0,0,0,0,0,7.85,0,1.96,3.93,0.98,0
 84-94,0,0,0,0,4.25,0,0,18.05,0,0,2.12,19.12,0,0,1.06,0,0,1.06,1.06,0,36.11,0,0,3.19,39.3,0,2.12,1.06,0,1.06,7.43,0,0,0,0,0,7.43,0,1.06,7.43,2.12,0
 96-106,0,0,0,0,2.19,0,1.09,8.74,0,1.09,0,12.02,1.09,0,2.19,4.37,1.09,2.19,0,0,36.06,0,1.09,3.28,19.67,0,7.65,1.09,0,2.19,12.02,0,0,2.19,0,0,4.37,0,0,10.93,1.09,0
108-118,0,0,0,0,2.3,0,0,3.06,0,0.77,0.77,13.02,0,0,0,0.77,0,1.53,0,0.77,24.51,0,0,1.53,22.21,0,3.83,2.3,0,0,10.72,0,0,0,0,0,1.53,0.77,2.3,2.3,0,0
120,0,0,0,0,3.92,0,0,5.88,0,3.92,1.96,5.88,0,0,1.96,0,0,1.96,1.96,1.96,23.52,0,0,5.88,37.24,0,5.88,0,0,0,7.84,0,0,0,0,0,0,0,1.96,3.92,0,0
