stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,7,0,0,5,0,1,0,1,0,0,0,0,0,0,3,0,0,5,35,2,0,2,3,0,4,0,2,16,0,0,0,0,0
 24-34,0,0,2.46,0,0,4.93,0,0,0,0.82,0,0,0,0,0,0,3.28,0.82,0,0,25.45,0,0,0.82,0,0.82,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,7.25,0.81,0.81,0,0,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,1.15,0,0,8.61,0,0,0.57,1.15,0,0,0,0.57,0.57,0,8.03,0,0,0.57,36.72,0,0.57,0,0,0,0,0,0,12.05,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,16.69,0,0,0,3.93,0.98,0,0,0,0,0,7.85,0,0,0,51.04,0,1.96,0.98,0,2.94,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,6.87,0,0,45.16,0.98,0.98,0,7.85,0.98,0,0,0,3.93,0,51.05,2.94,0,4.91,106.02,0,2.94,3.93,0,3.93,0,0,0,9.82,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,11.68,0,2.12,2.12,4.25,0,0,0,0,1.06,0,8.5,1.06,0,0,21.24,1.06,1.06,3.19,0,1.06,0,0,0,3.19,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,9.84,0,0,0,3.28,0,0,2.19,0,3.28,0,8.74,0,0,1.09,6.56,0,2.19,3.28,0,2.19,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,2.3,0,0.77,9.96,0,0.77,1.53,9.19,2.3,0,0.77,0,1.53,0.77,10.72,0,0.77,1.53,22.98,0.77,0,9.19,0,3.06,0,0,0,2.3,0.77,0.77,1.53,0.77,0.77
120,0,0,1.96,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
