stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,13.14,0,0,0,0,0,0,0,0,0,2.63,34.17,0,0,92,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,12.59,0,0,100.7,0,3.15,0,0,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,2,5,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,4.1,0,0.82,0,0,0,0,0,0,0,0,2.46,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,1.61,0,5.64,0,0.81,0.81,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0.57,0.57,3.44,0,0.57,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,15.7,0,0.98,0,0,0,0.98,0,5.89,0,2.94,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,39.27,0.98,2.94,0,0,0,2.94,0,2.94,0,5.89,1.96,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,36.11,0,0,0,0,0,2.12,0,1.06,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,37.16,0,3.28,1.09,0,1.09,1.09,0,9.84,0,1.09,6.56,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,32.17,0,3.06,0,0.77,0.77,0,0,3.06,0,2.3,3.83,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,25.48,0,3.92,0,0,0,3.92,1.96,3.92,0,5.88,11.76,0,1.96,1.96,0,0,0,0,0,1.96
