stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,0,0,0,37.76,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,3,4,0,9,0,0,4,0,1,0,0,0,0,0,3,0,0,6,126,0,0,1,0,0,3,0,3,0,6,33,0,0,3
 24-34,0,0,0,0,4.1,1.64,0,43.51,0,0,4.93,0,0,0,0,0.82,0,0,13.95,0.82,0,5.75,142.83,0,0.82,1.64,0,0,5.75,0,0,0,0.82,26.27,0,0,3.28
 36-46,0,0,0,0,3.22,0,0,32.23,0.81,0,0.81,0,0,0,0,0,0.81,0,4.83,0,0.81,0.81,49.95,0,1.61,0,0,0.81,4.03,0,0,0,0,12.09,0,0,1.61
 48-58,0,0,0,0,1.72,0.57,0,32.13,0,1.15,3.44,0,0,0,0,0,0.57,0,9.18,0,0.57,0.57,29.84,0,0,0,0,0,2.3,0,0,0,0,2.87,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,0,10.8,0,0,0,0,0.98,0,0,0,0.98,0.98,11.78,0,0,1.96,18.65,0,2.94,0.98,0,0,3.93,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,1.96,0,0.98,1.96,0.98,11.78,0,0,3.93,1.96,0.98,0.98,0,0,0,0,10.8,0,0,0.98,18.65,0,1.96,0,0,0.98,4.91,0,0,0,0,0.98,0,0.98,3.93
 84-94,0,0,0,0,7.43,1.06,0,2.12,0,0,2.12,1.06,0,1.06,1.06,0,0,0,7.43,1.06,0,0,8.5,0,2.12,1.06,0,0,4.25,0,0,0,0,1.06,1.06,0,2.12
 96-106,0,0,0,0,5.46,1.09,5.46,4.37,1.09,0,4.37,1.09,0,3.28,4.37,0,2.19,2.19,3.28,0,1.09,2.19,10.93,0,2.19,1.09,0,0,6.56,0,0,0,0,0,0,0,6.56
108-118,0,0,0,0,6.89,4.6,2.3,8.43,0,0.77,8.43,3.83,0,1.53,0,0,0.77,3.06,7.66,1.53,0,2.3,25.28,0.77,0.77,2.3,0,0,7.66,0,0,0,0,0.77,1.53,0.77,4.6
120,0,0,1.96,0,23.52,15.68,0,11.76,0,0,3.92,1.96,0,0,1.96,1.96,0,0,15.68,1.96,0,0,33.32,0,0,1.96,0,0,11.76,0,0,0,0,0,0,0,1.96
