stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,25,5,0,12,0,0,0,4,1,1,1,0,0,0,0,0,0,10,0,15,177,2,1,0,9,3,1,37,1,1,28,62,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,32.01,0,0,0,7.39,0.82,0,0.82,0,0,0,0,0,0.82,12.31,0,5.75,223.27,0,1.64,0.82,0,4.1,0,0,0,0,0,70.59,0,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,77.34,0,0,1.61,3.22,0,0,0,0,0,0,0,0,0,8.06,0.81,5.64,125.68,0.81,1.61,0,0,3.22,0,0,0.81,0,0,35.45,0,0,1.61,0,0
 48-58,0,0.57,0,0,0,0,82.63,0.57,0,0.57,6.89,0,0,0,0,0.57,0,0,0.57,0,12.05,0.57,2.87,56.23,0,0,0,0,1.72,0,0,0,0,0,17.79,0,0,0.57,0,0.57
 60-70,0,0.98,0,1.96,0,0,70.67,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0,9.82,0,1.96,54.97,0,1.96,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,20.61,0,0,0.98,6.87,0,0,0,0.98,0,0,0.98,0,0,5.89,0.98,1.96,28.47,0,4.91,2.94,0,0,0,0,0,0,0,4.91,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,27.61,0,1.06,0,2.12,0,0,0,1.06,0,0,1.06,0,0,5.31,0,1.06,11.68,0,2.12,1.06,0,3.19,0,0,0,0,0,4.25,0,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,8.74,0,0,1.09,2.19,0,0,0,0,1.09,0,0,0,0,6.56,0,0,13.11,0,2.19,0,0,5.46,0,0,0,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0,0,0,6.13,0,0.77,0,0,3.06,0,0,0.77,0,0,0,1.53,0,5.36,0.77,0,13.79,0,0.77,1.53,0,0.77,0,0,0,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,1.96,1.96,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
