stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,3.15,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,5,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,0,0,0,0,0,0.82,0,0.82,9.85,0.82,0,0,27.09,0,43.51,0,0.82,6.57,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,1.61,0,0,0.81,0,1.61,0,0,16.11,0,0,0,23.36,0,53.17,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,9.18,0.57,0,0,0,11.48,0,0,0,27.54,0,60.25,0,3.44,5.16,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,4.91,0,0,26.5,0,0,0,0,26.5,0,0,0,39.26,0,160.97,0,11.78,5.89,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,15.71,0,0.98,57.92,1.96,1.96,0,0,31.41,0,0,1.96,112.89,0,323.95,2.94,14.72,16.69,0,0.98,0,0,0.98,1.96,2.94,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,1.06,0,16.99,0,2.12,30.8,5.31,0,0,3.19,59.47,0,1.06,0,373.84,0,193.29,1.06,10.62,21.24,0,0,1.06,0,0,1.06,5.31,0,0,2.12,0,1.06,0
 96-106,0,0,0,0,15.3,0,0,39.34,0,2.19,61.2,4.37,3.28,0,4.37,73.22,3.28,0,0,671.01,0,495.06,4.37,22.95,115.84,1.09,2.19,0,0,4.37,6.56,16.39,1.09,0,1.09,5.46,5.46,0
108-118,0,0,0.77,0,3.83,0,1.53,16.09,1.53,3.83,65.11,6.89,0.77,0,4.6,58.98,0.77,0.77,2.3,1263.84,0.77,563.75,5.36,26.81,87.32,0.77,0.77,1.53,0,3.06,2.3,41.36,0,0.77,0.77,4.6,0.77,2.3
120,0,0,0,0,5.88,3.92,0,15.68,0,0,72.51,1.96,0,0,0,117.59,0,1.96,0,585.98,0,491.91,1.96,27.44,54.87,0,1.96,0,0,1.96,5.88,21.56,0,0,1.96,1.96,0,0
