stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,3,0,1,7,0,2,3,0,0,4,0
 24-34,0,0.82,1.64,0,0.82,0,0,0,2.46,0,0,13.13,0,18.88,0,0,0.82,4.1,0
 36-46,0.81,0.81,3.22,0,0,0,2.42,0,1.61,0,0.81,8.86,0.81,13.7,0,0,0,4.03,0
 48-58,0,1.15,2.87,0,1.15,0,0,0,1.15,0,0.57,6.31,0,13.2,0,0,0,1.72,0
 60-70,0,0,6.87,1.96,2.94,0,0,0,1.96,0.98,0,9.82,0,26.5,0,0,0,2.94,0
 72-82,0,6.87,9.82,0,1.96,0,1.96,0,2.94,0,0,6.87,0,18.65,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,0,1.06,0,0,0,0,5.31,0,54.16,0,1.06,0,0,0
 96-106,0,14.21,3.28,0,0,0,6.56,0,1.09,2.19,1.09,7.65,0,67.76,0,0,0,0,0
108-118,0,13.02,4.6,3.06,0.77,0.77,3.83,0.77,3.06,0,0,3.83,0,62.81,0,0,0,0,0.77
120,0,11.76,1.96,9.8,0,1.96,7.84,0,3.92,0,0,7.84,0,99.95,0,0,0,0,0
