stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,314.7,0,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,412,3,2,0,6,0,0,5,0,0,0,0,0,0,0,0,15,1,0,12,12,0,1,3,0,0,36,3,2,0,0,15,0,0,0,0,0
 24-34,0,0,0,0,162.53,0.82,4.1,0,21.34,1.64,0.82,1.64,0,2.46,0.82,1.64,0,4.1,0,0,27.09,0,0.82,17.24,25.45,3.28,2.46,4.1,0,0,117.38,0,0,0.82,0.82,25.45,0,0,6.57,0,1.64
 36-46,0,0,0,0,55.59,0,5.64,0,14.5,1.61,1.61,0.81,0,1.61,0,0.81,0,1.61,0,0,41.09,0.81,2.42,16.92,14.5,4.03,2.42,0,0,0,91.04,0,0,0,0,27.39,0,1.61,3.22,0,1.61
 48-58,0,0,0,0,40.17,0,9.75,0,20.08,2.3,4.02,0.57,0.57,4.02,2.3,0,0.57,2.87,0,1.15,46.48,0,4.02,13.2,21.8,1.72,1.15,1.15,0,0.57,59.1,0,0.57,0,0,22.38,0,1.15,8.03,0.57,3.44
 60-70,0,0,0,0,45.15,0,21.59,0,20.61,0,15.7,0,0,3.93,0.98,0,0.98,0.98,0,0,87.36,0.98,3.93,8.83,10.8,0.98,2.94,2.94,0,0,56.93,0,0,0,0,12.76,0.98,2.94,6.87,0.98,1.96
 72-82,0,0,0,0,51.05,0,29.45,0,20.61,0.98,26.5,6.87,0,4.91,4.91,6.87,0.98,0,0,0,121.73,1.96,9.82,8.83,18.65,0,2.94,4.91,0,0.98,65.77,0,0,0,0,11.78,2.94,4.91,16.69,2.94,0.98
 84-94,0,0,1.06,0,84.96,1.06,27.61,0,38.23,2.12,10.62,14.87,0,4.25,6.37,4.25,1.06,2.12,0,1.06,70.09,1.06,7.43,9.56,8.5,2.12,3.19,3.19,0,1.06,173.11,0,0,0,0,6.37,2.12,1.06,14.87,2.12,1.06
 96-106,0,0,0,0,92.89,1.09,17.49,0,29.51,0,18.58,14.21,0,6.56,14.21,5.46,6.56,4.37,0,0,74.31,1.09,9.84,4.37,20.76,1.09,9.84,5.46,0,3.28,124.58,0,1.09,0,0,16.39,4.37,6.56,21.86,7.65,3.28
108-118,0,0,0.77,0,93.45,0.77,14.55,1.53,42.89,0.77,19.15,9.96,0,3.06,11.49,8.43,9.96,3.83,0.77,0,74.3,2.3,6.13,4.6,12.26,2.3,4.6,3.06,0,0.77,81.19,0,0.77,0,0,3.83,8.43,5.36,13.79,3.06,3.06
120,0,0,0,0,101.91,0,11.76,0,27.44,1.96,13.72,7.84,0,1.96,13.72,1.96,0,3.92,0,0,31.36,0,3.92,0,15.68,5.88,3.92,0,0,0,41.16,0,1.96,0,0,5.88,5.88,1.96,7.84,3.92,1.96
