stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,1,0,0,0,1,1,39,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,1.64,2.46,0,0,0,0,0,0.82,152.68,0,2.46,3.28,0,0,0,0,0,0,79.62,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0.81,0,4.03,0,0.81,0,0,0,0,2.42,0,0,1.61,0,0,1.61,438.28,0,2.42,0.81,0,0,0.81,0.81,0,0,146.63,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,1.15,0,26.97,0,0.57,0,6.31,0,0,0,0.57,0.57,0,1.72,0,0.57,12.62,0.57,0.57,0.57,605.94,0,2.87,1.15,0,0,0.57,0,0,0,130.83,0,0,0.57,0,1.15
 60-70,0,0,0,0,6.87,0,0,83.43,0,0.98,0.98,3.93,0,0,0,0,0,0,4.91,0,0,22.58,0,0.98,0,1233.77,0.98,3.93,2.94,0,0,0,0,0,0,154.1,0,0.98,0,2.94,0.98
 72-82,0,0,2.94,0,6.87,1.96,0,191.42,0.98,0,0,27.49,1.96,0,0,0,0,0.98,13.74,0,0,34.36,0,6.87,2.94,1147.56,0,6.87,10.8,0,1.96,0,0,0,0,102.09,1.96,6.87,1.96,7.85,0
 84-94,0,0,0,0,7.43,0,0,148.69,1.06,1.06,0,19.12,1.06,0,0,2.12,0,0,11.68,1.06,0,21.24,0,2.12,2.12,570.31,0,2.12,8.5,0,0,2.12,0,0,0,74.34,1.06,1.06,1.06,4.25,0
 96-106,0,0,4.37,0,6.56,4.37,1.09,132.23,0,0,0,36.06,3.28,0,2.19,0,0,0,21.86,2.19,0,32.79,1.09,1.09,1.09,509.27,0,6.56,13.11,0,1.09,2.19,0,0,0,33.88,2.19,3.28,1.09,8.74,0
108-118,0,0,3.06,0,8.43,1.53,0.77,116.43,1.53,0,0.77,19.92,2.3,0,0,1.53,0,0.77,15.32,0,0,19.92,0,4.6,1.53,539.24,0,3.06,12.26,0,0.77,2.3,0,0,0,22.98,4.6,3.83,0.77,5.36,0.77
120,0,0,3.92,0,5.88,0,0,115.63,1.96,3.92,0,25.48,1.96,0,0,0,1.96,0,23.52,0,1.96,19.6,1.96,1.96,3.92,636.93,0,5.88,11.76,0,0,0,0,0,0,39.2,0,1.96,0,1.96,0
