stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,318.74,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,2,31,2,0,1,1,0,5,0,6,5,0,0,0
 24-34,0,0,0,0,0,4.93,0.82,0,0.82,0,0,0,0,0,0.82,2.46,0,1.64,33.66,0,1.64,0,0,1.64,0,0,0.82,8.21,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,4.03,0,0,16.11,0,0,0,0,1.61,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,0,2.3,0,0,1.15,0,0,0,0,0.57,0,2.3,0,0.57,5.16,0,0,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0.98,0,8.83,0,0.98,0.98,0,0,0,0,0,0,2.94,0,1.96,4.91,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,2.94,0.98,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,3.19,1.06,0,1.06,0,1.06,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,0,1.09,0,0,6.56,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,1.53,0,0,0.77,0,0,0,2.3,0,0.77,4.6,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,3.92,0,0,3.92,0,1.96,0,0,0,0,0,0,0
