stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
