stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,4,80,6,0,7,0,0,0,1,6,0,2,0,0,0,0,0,1,14,0,0,14,49,5,0,1,2,0,0,4,1,6,13,18,0,0,1,0
 24-34,0,0,0.82,0,18.06,0,0,7.39,0,0,0.82,1.64,0.82,0,1.64,0,2.46,0,1.64,0,0,19.7,0,0,5.75,90.29,2.46,1.64,3.28,0,0,1.64,0,1.64,0.82,4.1,17.24,0,0,4.93,0
 36-46,0,0,0,0,5.64,0,0,11.28,0.81,0,0.81,3.22,0,0,6.45,0,0,0,0.81,0,0,17.72,0,2.42,2.42,126.49,2.42,0.81,3.22,0,0,0.81,0,0,0,0,24.17,0,0,4.03,0
 48-58,0,0,0,0,2.87,0,0,16.64,0,0,2.3,3.44,1.15,0.57,1.72,0,0,0,0.57,0,0,20.66,0,0,3.44,111.89,0.57,1.15,2.3,0,0,0.57,0,0.57,0,0,28.69,0,0.57,2.87,0
 60-70,0,0,0,0,1.96,0.98,0,33.37,0,0,0,3.93,0.98,0,0.98,0,1.96,0,0,0,0,29.45,0,1.96,0.98,101.1,0,0,0.98,0,0,0,0,0,0,0,20.61,0,1.96,0,0
 72-82,0,0,0.98,0,0.98,2.94,0,19.63,0,1.96,0.98,12.76,0.98,0,3.93,0,0,0,0,0,0,29.45,0,0,1.96,75.59,0,0.98,3.93,0,0,1.96,0,0,0,0,7.85,0,1.96,1.96,0.98
 84-94,0,0,0,0,3.19,4.25,0,21.24,0,1.06,1.06,4.25,0,1.06,0,1.06,0,1.06,2.12,0,0,29.74,1.06,3.19,0,25.49,1.06,1.06,5.31,0,0,0,0,0,0,0,13.81,1.06,3.19,2.12,1.06
 96-106,0,0,0,0,2.19,1.09,0,8.74,0,2.19,2.19,4.37,1.09,0,7.65,2.19,0,1.09,0,0,0,17.49,0,1.09,2.19,40.44,3.28,1.09,3.28,0,1.09,2.19,0,0,0,0,8.74,0,0,0,3.28
108-118,0,0,0.77,0,13.02,3.06,1.53,8.43,0.77,3.83,2.3,7.66,3.83,0,2.3,2.3,0,1.53,2.3,1.53,0,20.68,0,0.77,0,60.51,3.06,0.77,6.89,0,0,2.3,0,0,0,0,1.53,0,0.77,2.3,1.53
120,0,0,0,0,11.76,3.92,0,21.56,0,0,0,9.8,1.96,0,1.96,0,0,0,1.96,0,0,15.68,0,0,3.92,23.52,1.96,1.96,3.92,0,0,3.92,0,0,0,0,1.96,0,0,0,0
