stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,48,501,1,0,83,0,0,0,42,0,2,11,0,10,0,0,0,0,72,2,0,65,193,98,0,1,0,0,0,0,1,0,52,24,507,0,0,0,0
 24-34,0.82,0,0,39.4,78.8,1.64,0,265.14,0.82,0,0,40.22,0,0,11.49,0,0.82,0.82,0.82,4.93,0.82,96.86,1.64,0,79.62,286.48,150.22,0,6.57,0,0.82,0,0,0,0,8.21,11.49,421.92,0,2.46,0,0
 36-46,0,0,0,4.83,20.14,0,0,118.43,5.64,0.81,0.81,16.92,0.81,0,6.45,0,0,0,0.81,2.42,0,137.77,0,4.03,49.15,134.55,170.8,1.61,10.47,0,0,0.81,0,0,1.61,4.83,0.81,182.89,0,0,0,0
 48-58,0,0,0,1.72,16.07,0,0,62.54,1.72,1.15,0,11.48,0,0,6.89,0,0,0,0,0.57,2.3,188.21,0,4.02,25.25,84.92,119.35,0,21.23,0,0.57,1.15,0,0,2.3,9.75,0,74.02,1.15,0.57,0,1.15
 60-70,0,0,0,0,14.72,0,0,40.24,1.96,0,0.98,16.69,0.98,0,2.94,0,0,0,0.98,0.98,0,254.21,0,6.87,16.69,50.06,90.3,0,20.61,0,0.98,0.98,0,0,3.93,3.93,0,28.46,1.96,0,0,0
 72-82,0,0,0,2.94,15.71,0,0,51.05,0.98,0.98,5.89,51.05,0.98,0,2.94,0,0,0,0.98,0.98,0.98,411.32,0,24.54,21.6,64.79,68.72,0,32.39,0,1.96,0.98,0,0,3.93,2.94,0,15.71,9.82,0,2.94,0.98
 84-94,1.06,0,0,1.06,15.93,0,0,69.03,3.19,6.37,1.06,43.54,0,0,3.19,0,3.19,0,0,2.12,0,263.39,0,11.68,18.05,35.05,100.89,2.12,33.99,0,1.06,2.12,0,0,4.25,2.12,0,8.5,1.06,1.06,1.06,0
 96-106,0,0,1.09,2.19,24.04,1.09,1.09,55.74,5.46,2.19,4.37,46.99,1.09,0,6.56,1.09,0,0,1.09,6.56,0,290.7,0,8.74,21.86,57.92,83.06,1.09,50.27,0,0,5.46,0,0,6.56,3.28,0,14.21,2.19,0,2.19,0
108-118,0,0,0.77,0.77,21.45,0,0,56.68,2.3,3.83,3.06,38.3,0,0,0.77,0,0.77,0,2.3,3.06,0.77,241.28,0,11.49,19.92,42.89,80.43,0,48.26,0,0.77,0,0,0,4.6,3.83,0,3.83,0,0,1.53,0.77
120,0,0,0,1.96,29.4,0,0,27.44,0,0,3.92,11.76,0,0,1.96,0,0,0,3.92,3.92,0,170.5,0,1.96,15.68,35.28,72.51,1.96,37.24,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0,1.96,0
