stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,2,28,3,0,9,0,1,0,7,2,0,1,0,0,0,0,0,0,34,0,0,13,128,17,1,3,5,0,1,13,7,13,70,82,0,0,4,0,1
 24-34,0,0,0.82,19.7,0,0,59.1,2.46,9.85,1.64,10.67,0.82,0,1.64,0.82,0.82,0.82,0.82,0,0,62.39,1.64,1.64,38.58,218.35,6.57,1.64,3.28,0,0,19.7,0,3.28,5.75,11.49,91.12,0,0,11.49,0,3.28
 36-46,0,0,0.81,4.03,0,0,107.15,2.42,6.45,4.83,28.2,0,0,6.45,0.81,0,0,0.81,3.22,0.81,106.35,3.22,1.61,24.98,211.89,4.03,1.61,5.64,0,0,23.36,0,0,12.09,0.81,91.85,0,0.81,3.22,0,9.67
 48-58,0.57,0,0,8.03,0,0,125.66,4.59,4.59,5.16,44.76,1.72,0,2.87,1.15,0.57,1.72,0,2.3,5.16,118.2,5.16,3.44,23.53,106.15,2.3,1.72,2.87,0.57,0.57,17.21,0,0,5.74,0,60.25,0,1.15,3.44,0,10.33
 60-70,0,0,0,15.7,0,0,189.43,6.87,5.89,3.93,98.15,7.85,0,3.93,5.89,0.98,7.85,1.96,6.87,0.98,199.25,10.8,3.93,18.65,128.58,2.94,0,7.85,0,0,25.52,0,1.96,6.87,0,36.32,0.98,7.85,8.83,2.94,9.82
 72-82,0,4.91,1.96,28.47,0.98,0,156.08,5.89,0.98,10.8,98.17,9.82,0.98,4.91,8.83,4.91,5.89,3.93,3.93,5.89,224.8,20.61,10.8,20.61,173.75,1.96,2.94,9.82,0,3.93,33.38,0,0.98,8.83,0,29.45,2.94,7.85,17.67,12.76,8.83
 84-94,0,5.31,1.06,37.17,2.12,4.25,130.63,4.25,7.43,8.5,46.73,13.81,0,0,7.43,6.37,7.43,1.06,15.93,4.25,134.88,11.68,6.37,8.5,95.58,2.12,2.12,10.62,0,2.12,92.4,0,3.19,10.62,0,9.56,3.19,7.43,11.68,5.31,5.31
 96-106,0,2.19,2.19,39.34,3.28,4.37,103.82,18.58,16.39,6.56,62.29,20.76,0,6.56,18.58,7.65,6.56,3.28,8.74,3.28,133.33,8.74,6.56,14.21,133.33,3.28,5.46,15.3,0,9.84,123.49,0,5.46,13.11,0,8.74,3.28,3.28,15.3,10.93,9.84
108-118,0,0,2.3,57.45,2.3,7.66,93.45,33.7,29.87,1.53,49.02,24.51,0.77,3.83,15.32,13.79,16.85,2.3,16.85,5.36,118.72,8.43,6.13,18.38,120.26,4.6,3.83,18.38,0,7.66,95.75,0,1.53,16.85,0,9.19,6.13,3.83,13.02,8.43,9.19
120,0,1.96,0,45.08,3.92,1.96,84.27,25.48,19.6,1.96,31.36,43.12,0,1.96,17.64,0,5.88,3.92,19.6,1.96,97.99,5.88,1.96,11.76,162.66,7.84,9.8,11.76,0,1.96,105.83,0,1.96,13.72,0,15.68,7.84,7.84,11.76,5.88,1.96
