stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,6,0,1,1,0,0,0,0,5,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0
 24-34,0,0,3.28,0.82,0,0,18.88,0,0,2.46,0.82,0,0,0,6.57,0.82,0,0,0.82,7.39,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,0.81,4.83,0,0,0.81,0,0,0,0,4.03,1.61,0,0,0,8.06,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,2.3,4.59,0,1.72,0,0,0,0,0,1.15,2.3,0,0,0,5.16,0,0,0,0,0.57,0,0,0.57,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,7.85,2.94,0,0.98,0,0,1.96,0,4.91,16.69,0,0,0,5.89,0,0,0,0,0,0,2.94,0,0,2.94,0,0
 72-82,0,0,0,0,0,7.85,0.98,1.96,0,0,0,0,7.85,0.98,5.89,30.43,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,4.91,0.98,0
 84-94,0,0,0,4.25,1.06,3.19,4.25,1.06,2.12,2.12,0,2.12,12.74,0,12.74,14.87,1.06,0,0,6.37,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,4.37,2.19,2.19,0,2.19,0,0,15.3,0,17.49,19.67,1.09,2.19,0,5.46,0,0,0,0,1.09,0,0,0,0,6.56,0,0
108-118,0,0,0,5.36,0,10.72,3.06,0,2.3,4.6,0,0,12.26,0,53.62,32.17,0.77,1.53,0,5.36,0,0,0.77,0,0.77,0,0,0,0.77,3.06,0,0.77
120,0,0,1.96,1.96,0,3.92,5.88,0,0,3.92,0,0,9.8,0,58.79,11.76,0,0,0,15.68,0,0,0,0,0,0,1.96,0,0,3.92,0,0
