stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0
 14-21,11,4,2,0,0,0,1,1,0,8,42,9,0,2,0,69,37,651,3,0
 24-34,0.82,0,0,1.64,0,0.82,2.46,0,0,9.03,22.98,4.93,0,0,0,0.82,0.82,45.97,4.93,0.82
 36-46,0,0,0,0,0,0,0,0,0,8.06,4.03,3.22,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,8.03,2.87,2.3,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,7.85,0.98,2.94,0,0,0,0,0,0,1.96,0
 72-82,0,0.98,0,0.98,0,0.98,0.98,1.96,0,10.8,0.98,5.89,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,0,0,0,0,4.25,5.31,2.12,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,3.28,3.28,0,0,0,0,0,0,0,0,0
108-118,0,1.53,0,0,0,0.77,0,0,0,0.77,5.36,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,7.84,3.92,7.84,0,0,0,0,0,0,0,0
