stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,5,0,0,0,0,0,0,1,1,344,241,3,0,0,0,0,1
 24-34,0,0,1.64,0,0,7.39,82.09,0,0.82,1.64,0,4.93,0,1.64,0,0.82,1.64,5.75,5.75,0,0,27.09,55.82,0.82,0.82,0.82,0,0,4.1,0,0.82,160.89,326.7,11.49,0,0,0.82,0,1.64
 36-46,0,0,0.81,0,0,6.45,84.6,0,0,0,0,4.03,0,0,0,0.81,0,1.61,1.61,0,0,20.95,24.98,0,0.81,0,0,0,2.42,0,0,71.7,24.98,6.45,0,0,0.81,0,0
 48-58,0,0,0,0,0,16.64,60.82,0,1.15,1.72,0,2.3,0,0,0,0.57,0,1.15,4.02,0,0.57,41.89,30.41,0,0,0,0.57,0,0.57,0,0,55.09,0,10.9,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,11.78,87.36,0,0,4.91,0,1.96,0,0,0.98,0,0,2.94,2.94,0,0,43.19,20.61,0,0,0,1.96,0,0,0,0,32.39,0,1.96,0,0,0,0,1.96
 72-82,0,0,0,0.98,0,18.65,100.13,0,0,5.89,0,0.98,0,0,0.98,0,0,0,15.71,0,0,28.47,16.69,0,0,0,0.98,0,0.98,0,0,26.5,0,2.94,0,0,0.98,0,3.93
 84-94,0,0,2.12,1.06,0,15.93,127.44,0,1.06,8.5,0,3.19,1.06,0,1.06,0,0,6.37,10.62,0,0,28.68,12.74,0,0,1.06,0,0,3.19,0,0,27.61,0,2.12,0,0,0,0,3.19
 96-106,0,0,5.46,6.56,1.09,19.67,319.11,4.37,1.09,45.9,3.28,7.65,1.09,1.09,2.19,1.09,3.28,3.28,29.51,1.09,1.09,40.44,39.34,0,1.09,1.09,1.09,1.09,14.21,0,0,46.99,0,1.09,1.09,2.19,2.19,1.09,5.46
108-118,0,0,4.6,3.83,2.3,22.98,299.49,1.53,0,28.34,0,3.06,0.77,1.53,7.66,0,0.77,5.36,19.92,0.77,0,40.6,29.87,0,0,0.77,0,0.77,1.53,0,0,38.3,0,3.06,0,0,0.77,0.77,13.02
120,0,0,3.92,3.92,1.96,11.76,131.31,0,3.92,45.08,1.96,1.96,0,0,1.96,0,0,1.96,27.44,0,0,37.24,19.6,0,1.96,0,0,0,0,0,0,11.76,0,0,1.96,0,0,0,3.92
