stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,735.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,5.26,0,0,0,15.77,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,197.15,5.26,0,0,55.2,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,125.88,6.29,0,0,37.76,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,3,1,0,8,0,0,0,3,1,0,0,0,1,0,0,0,1,14,0,0,2,68,0,0,0,5,0,0,7,0,1,12,31,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,0,13.95,0,0,0,4.1,0,0,0,0,0,0,0,0,0,13.95,0,0,9.03,116.56,0,1.64,0.82,0,0,4.1,0,0,0,4.93,38.58,0,4.1,0,0.82
 36-46,0,0,0,0.81,0,0,0,8.86,0.81,0,0.81,4.83,0,0,0,0.81,0,0,0,0.81,0,11.28,0,0,1.61,85.4,0.81,0,0,0,0,4.03,0,0,0,0,24.17,0.81,2.42,0,0
 48-58,0,0,0.57,0,0.57,0,0,19.51,0,0.57,1.15,7.46,0,0,0,0.57,0,0,1.15,0,0.57,15.49,0,2.87,2.3,96.4,0,0,0.57,0,0,2.3,0,0,0,0,16.64,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,0,26.5,0,0,0.98,7.85,0,0,0,0,0,0,0.98,0,0,13.74,0.98,0,2.94,78.52,0,0,0,0,0,0.98,0,0,0,0,14.72,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,20.61,0,0,0,13.74,0,0.98,0,0,0,0,0,0,0,30.43,0,0.98,0.98,51.05,0,0,1.96,0,0,0.98,0,0.98,0,0,12.76,0.98,1.96,0.98,0
 84-94,0,0,0,0,5.31,0,0,19.12,0,1.06,0,9.56,1.06,0,0,1.06,1.06,1.06,0,0,1.06,16.99,1.06,1.06,4.25,33.99,0,0,1.06,0,0,0,0,1.06,0,0,3.19,0,0,1.06,0
 96-106,0,0,1.09,0,4.37,0,0,13.11,0,0,0,10.93,1.09,0,1.09,0,0,1.09,3.28,0,1.09,15.3,0,2.19,2.19,39.34,2.19,0,1.09,0,1.09,8.74,0,0,0,0,4.37,1.09,1.09,1.09,1.09
108-118,0,0,0.77,0,6.89,0,0.77,13.79,0,1.53,1.53,13.02,2.3,0,1.53,0,0.77,0,0,1.53,0,15.32,0,0,0.77,41.36,0.77,0.77,0,0,0.77,4.6,0,0,0,0,1.53,0.77,3.83,0,1.53
120,0,0,0,0,5.88,0,0,7.84,0,1.96,0,11.76,1.96,0,1.96,1.96,0,0,0,0,0,15.68,1.96,0,1.96,25.48,0,0,3.92,0,1.96,5.88,0,0,0,0,1.96,1.96,11.76,0,0
