stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,1.15,0.57,2.3,1.15,0,0,1.15,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,0,0,0,0,1.06,0,0,0,1.06,0,0,0
 96-106,2.19,0,0,1.09,0,1.09,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,3.83,0.77,0,1.53,0.77,0,0,0.77,0.77,0,0,0,2.3,0,0.77,0,0,0
120,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96,0,3.92,0,0,0,0,1.96
