stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,7.89,0,0,0,36.8,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,189.27,7.89,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,40.91,0,0,0,44.06,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,245.46,3.15,0,0,103.85,0,3.15,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,2,25,0,0,7,0,0,0,6,0,0,0,0,1,0,1,0,0,4,0,0,0,184,1,1,2,8,0,0,16,0,1,11,46,0,0,0,0,0
 24-34,0,0,5.75,1.64,139.55,0.82,0,27.91,0,1.64,0.82,5.75,0.82,0,0,0,3.28,0,6.57,0.82,0,21.34,0,0,4.93,1186.14,0.82,43.51,7.39,0,0,5.75,0.82,1.64,0.82,10.67,154.32,0,0,4.93,0,0
 36-46,0,0,2.42,0,77.34,0,0,62.84,0,2.42,0,27.39,0.81,0,0,0,3.22,0,2.42,0.81,0.81,46.73,2.42,0.81,8.06,1890.91,0.81,39.48,6.45,0,0.81,4.83,0,0,12.09,0.81,228.81,0,0,2.42,0,0
 48-58,0,0,0.57,0,88.94,1.15,0,233.54,1.15,4.02,1.15,67.71,1.15,0,0.57,0,2.87,0.57,4.59,0.57,0.57,82.05,1.72,1.72,7.46,2206.28,0.57,18.94,4.02,0,0,16.07,0,0,25.25,0,254.77,0,0,2.87,0.57,2.87
 60-70,0,0,0,0,98.15,1.96,0,414.2,4.91,2.94,0.98,89.32,0.98,0,0,1.96,0.98,0,6.87,0,0,124.65,2.94,6.87,9.82,2753.17,1.96,28.46,6.87,0.98,0,18.65,0,0,16.69,0,251.27,0,2.94,1.96,0.98,2.94
 72-82,0,0,3.93,0,73.62,9.82,0,610.59,8.83,2.94,1.96,96.2,5.89,0,3.93,3.93,16.69,1.96,11.78,0.98,0,164.92,1.96,15.71,15.71,2574.9,0.98,53.99,9.82,0,0.98,11.78,0,2.94,23.56,0,168.85,5.89,4.91,9.82,5.89,2.94
 84-94,0,0,2.12,0,100.89,5.31,1.06,430.13,11.68,2.12,3.19,82.84,1.06,0,0,5.31,10.62,5.31,12.74,0,0,89.21,1.06,19.12,11.68,1247.89,1.06,61.6,8.5,0,0,26.55,0,0,33.99,0,93.46,22.3,4.25,5.31,7.43,2.12
 96-106,0,0,5.46,0,55.74,13.11,0,296.16,27.32,3.28,2.19,85.24,3.28,0,2.19,8.74,10.93,0,19.67,3.28,0,73.22,4.37,7.65,6.56,1050.23,1.09,122.4,13.11,1.09,2.19,27.32,0,0,46.99,0,42.62,46.99,4.37,18.58,7.65,2.19
108-118,0,0,1.53,0.77,50.55,5.36,0,248.17,28.34,3.06,1.53,85.79,3.06,0,0,2.3,6.13,0,11.49,3.83,0,56.68,1.53,3.06,6.13,1318.99,0,81.96,13.02,0,1.53,20.68,0,0.77,39.06,0,36.77,81.19,4.6,13.02,2.3,1.53
120,0,0,5.88,1.96,47.03,1.96,0,358.64,31.36,11.76,3.92,109.75,1.96,0,3.92,9.8,9.8,1.96,15.68,5.88,0,90.15,1.96,7.84,21.56,2224.36,1.96,86.23,19.6,0,0,21.56,1.96,1.96,21.56,0,74.47,27.44,1.96,13.72,3.92,1.96
