stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,32.01,0,0,0,0,3.28,0,0,0.82,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,27.39,2.42,0,0,0,12.89,0,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0,4.59,0,0,0,0,0,0,0,37.87,1.72,0,0,0,16.07,0,0.57,2.87,0,0,3.44,0,0,0,0
 60-70,0,0,0,0,0,6.87,0,0,0.98,0,0.98,0,0,52.02,3.93,0,0,0,18.65,0,0,3.93,0,0,3.93,0.98,0.98,0,0
 72-82,0,0,0,0,0,11.78,0,1.96,1.96,0.98,0,0,0,76.57,8.83,0,0,0.98,37.3,0.98,0,0.98,0,0.98,0.98,0,0.98,0,0
 84-94,0,0,2.12,0,0,8.5,0,0,0,1.06,0,0,0,121.07,2.12,0,1.06,1.06,6.37,0,0,3.19,0,3.19,1.06,1.06,1.06,0,1.06
 96-106,0,0,6.56,0,2.19,12.02,1.09,0,6.56,1.09,0,2.19,1.09,159.56,9.84,0,0,2.19,19.67,0,3.28,2.19,0,3.28,0,0,0,1.09,0
108-118,0,0,3.06,0.77,0.77,9.96,0.77,0,0.77,0,1.53,1.53,0,109.53,4.6,0.77,0,0.77,14.55,0,0,1.53,0,0,0,0.77,0,0,0.77
120,0,0,5.88,0,0,7.84,0,0,0,1.96,0,0,0,78.39,0,0,0,0,7.84,0,0,3.92,0,5.88,1.96,0,0,0,0
