stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,5.26,2.63,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,91.26,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,4,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,1,0,1,21,1,1,6,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,3.28,9.03,9.03,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,12.09,5.64,3.22,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0.57,4.02,1.72,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,8.83,0,17.67,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,0,0.98,7.85,0,0,3.93,1.96,0,2.94,0.98,0,0,23.56,2.94,43.19,0,0,0,0,0,1.96,0,0,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,0,1.06,2.12,0,0,0,1.06,0,2.12,0,0,0,24.43,2.12,28.68,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0,1.06,2.12,2.12,0
 96-106,0,0,0,4.37,8.74,1.09,0,6.56,0,0,1.09,0,0,0,24.04,2.19,30.6,0,0,0,0,1.09,1.09,0,2.19,0,0,0,1.09,3.28,2.19,2.19,0
108-118,0,0,0,1.53,3.83,0,0.77,4.6,0.77,0,0.77,1.53,0.77,0,19.92,5.36,29.11,0,0.77,0,0,0,2.3,0,1.53,0,0,0,0,6.13,3.06,1.53,0.77
120,0,0,0,1.96,1.96,0,0,5.88,1.96,0,0,1.96,0,0,9.8,5.88,17.64,0,0,0,0,0,0,0,1.96,0,0,1.96,0,5.88,1.96,0,0
