stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,92.25,1923.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0
  5-6,91.94,1311.74,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,55.17,0,0,0
  7-9,2.63,5.26,2.63,0,5.26,0,0,2.63,0,0,0,126.18,5.26,0,0,31.54,0,0,0,0
 10-12,0,3.15,3.15,0,9.44,0,0,3.15,0,0,0,88.12,0,0,0,3.15,0,6.29,0,0
 14-21,0,0,2,5,1,1,0,0,1,0,2,14,0,2,2,0,1,1,0,3
 24-34,0,0,0,1.64,4.93,1.64,0,0,0,0,0.82,22.16,0,3.28,0.82,0,4.93,0,0.82,4.93
 36-46,0,0,0,1.61,2.42,1.61,0,0,0,0,0.81,16.92,0,3.22,0.81,0,0.81,0,0,4.03
 48-58,0,0,0,0,4.02,0.57,0,0,0,0.57,0,9.75,0,1.15,0,0,1.15,0,0,2.3
 60-70,0,0,0,1.96,4.91,0,0.98,0,0,1.96,0,8.83,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,3.93,2.94,0,0,0,0,0,1.96,7.85,0,0.98,0.98,0,1.96,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,3.19,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,1.09,2.19,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0.77,1.53,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0
