stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.47,0,6.29,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.94,6.29,0,0,141.61,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,17,1,8,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,15,47,1,0,0,0,2,14,0,37,19,0,0,0,0,0
 24-34,0,0,1.64,9.03,0,16.42,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,17.24,0,0,7.39,31.19,0,0,0.82,0,1.64,0,0,4.93,16.42,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,6.45,0,1.61,0,0.81,0.81,0,0,0,0,0,0,0,0,17.72,0,1.61,6.45,32.23,4.03,0,0.81,0,4.03,0,0,0.81,8.06,0,0,1.61,0,0
 48-58,0,0,0,2.3,0,38.44,0,1.15,0,2.87,0,0.57,0,0,0,0,0,0,0,12.05,0,0.57,1.72,24.67,2.87,1.15,0,0,1.72,0,0,0,5.74,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,129.56,0,1.96,0.98,11.78,0,0,0,0,0,0,0.98,0,2.94,16.69,0,0.98,0,47.11,2.94,0,0,0,1.96,0,0,0,5.89,0,0.98,0.98,1.96,0
 72-82,0,0,0,1.96,1.96,84.42,0,0.98,0,16.69,0.98,0,0,0,0,0,1.96,0,0,13.74,0,0.98,3.93,46.14,1.96,0,0,0,0.98,0,0,0,6.87,0,0,1.96,5.89,0
 84-94,0,0,0,3.19,0,60.54,0,1.06,0,11.68,0,1.06,1.06,0,0,1.06,0,0,0,13.81,1.06,2.12,1.06,32.92,0,0,3.19,0,5.31,0,0,0,5.31,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,30.6,1.09,4.37,0,13.11,1.09,0,0,0,0,0,1.09,1.09,0,13.11,0,0,1.09,25.14,3.28,0,3.28,0,5.46,0,0,0,2.19,0,0,1.09,3.28,0
108-118,0,0,0,6.13,0.77,24.51,0,0.77,0,9.96,1.53,0,0.77,0,0.77,0,0.77,0,0.77,9.19,0,0.77,0,22.21,0.77,0.77,3.06,0,1.53,0,0,0,0,0.77,0,0.77,2.3,0
120,0,0,0,0,0,29.4,0,1.96,0,9.8,0,0,0,1.96,1.96,0,0,0,0,13.72,0,0,0,29.4,3.92,0,0,0,5.88,0,0,0,0,0,1.96,0,0,0
