stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,110.14,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,7,1,6,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,52,6,0,1,1,0,4,1,0,4,21,0,0,0
 24-34,0,0,0,0.82,0,0.82,4.93,0,0,0.82,1.64,0,0,0.82,0,1.64,0,2.46,0,15.6,0,5.75,145.29,0.82,0,2.46,0,0.82,0,0,0,1.64,36.94,0,4.1,0
 36-46,0,0,0,0,3.22,0,26.59,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,6.45,0,0.81,167.58,1.61,0,0.81,0,0.81,0,0,0,0,24.98,0,0,0
 48-58,0,0,0,0,0.57,0,38.44,0,0.57,0.57,9.18,0,0.57,0,0,0,0,0,0,7.46,0,1.15,117.63,0,1.15,0.57,0,1.72,0,0,0,0,17.21,0,0.57,0
 60-70,0,0,0,0,0,0,53.98,0,0,0,8.83,0,0,0,0,0,0,0.98,0,11.78,0.98,0,106,0.98,0,0.98,0,0,0,0,0,0,14.72,0,0,0
 72-82,0,0,0.98,0,0,0.98,42.21,0,0,0,10.8,0.98,0,0,0,0,0,0,0,17.67,0,0,73.62,0,0,1.96,0,1.96,0,0,0.98,0,8.83,0,3.93,0
 84-94,0,0,1.06,0,3.19,2.12,27.61,0,0,0,10.62,1.06,0,0,1.06,0,0,0,1.06,12.74,1.06,2.12,56.29,1.06,3.19,1.06,0,3.19,0,0,0,0,6.37,1.06,2.12,0
 96-106,0,0,0,0,0,0,19.67,0,0,1.09,4.37,1.09,0,0,0,1.09,0,0,0,5.46,0,1.09,45.9,0,0,2.19,0,2.19,0,0,0,0,1.09,0,1.09,1.09
108-118,0,0,0.77,0,5.36,2.3,18.38,0,0,0,5.36,0,0,0.77,0.77,0.77,0.77,0.77,0,9.96,0.77,2.3,51.32,0,1.53,2.3,0,1.53,0,0,0,0,0,0.77,1.53,0
120,0,0,0,0,5.88,1.96,11.76,1.96,1.96,0,3.92,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,41.16,0,0,0,0,3.92,0,0,0,0,0,0,0,0
