stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,5,0,0,15,0,0,0,0,0,0,2,0,0,0,1,0,0
 24-34,0,2.46,0,0,65.67,0,0,0.82,0,0.82,0,2.46,0,0,0,0.82,0,0
 36-46,0,3.22,0,0,30.62,0,0,0,0,0,0,0.81,0,0.81,0,1.61,0,0
 48-58,0,1.15,0,0,25.82,0,0,0,0,1.15,0,2.87,0,0,0,1.15,0,0
 60-70,0,1.96,0,0,20.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0.98,15.71,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,1.06,0,0,31.86,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,3.28,1.09,0,41.53,0,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0.77,42.13,1.53,0,0,0,0,0,1.53,0,0,0.77,0,0.77,0
120,0,5.88,0,0,27.44,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
