stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,26.29,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,3,2,0,0,1,0,0,0,2,0,0,2,32,1,0,1,1,1,4,2,15,0,0,0,0
 24-34,0,0,0,0,0,4.93,2.46,0,0,0,0,0.82,0.82,3.28,0,0,2.46,73.88,0.82,0.82,1.64,0,0.82,0,2.46,27.91,0,0,0,0.82
 36-46,0,0,0,0.81,0,8.86,5.64,0,0,0,0,0.81,0,11.28,0,0,3.22,149.05,0.81,1.61,0,0,0,0,0,29,0,0.81,0,0
 48-58,0,0,0,0.57,0,25.25,4.59,0,0,0,0,0.57,0,8.61,0.57,0,2.3,91.23,0,0.57,0.57,0,0.57,0,0,20.66,0,0.57,0,0
 60-70,0,0,0,0.98,0,8.83,1.96,0,0.98,0,0,0,0,2.94,0,0.98,0.98,13.74,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,18.65,8.83,0.98,0,0,0,1.96,0,11.78,0,0,0,69.7,0,0.98,1.96,0,0,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,0,0,12.74,0,0,0,0,0,1.06,0,3.19,0,0,1.06,24.43,0,2.12,0,0,3.19,0,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,12.02,2.19,0,0,0,0,3.28,0,4.37,0,1.09,0,28.41,0,3.28,1.09,0,4.37,0,0,2.19,0,0,1.09,0
108-118,0,0.77,0,1.53,0.77,8.43,3.06,0,0,0,0.77,2.3,0,5.36,0,0,0,36.77,0,0,0,0,3.06,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,3.92,0,0,0,0,1.96,0,1.96,0,0,0,27.44,0,0,0,0,1.96,0,0,1.96,0,0,0,0
