stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0.57,0,0,0,0,1.15,0.57,0,0,4.02,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.91,0.98,0,0,0,24.54,0,0,0,0,3.93,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,4.91,0.98,1.96,0,12.76,0,0.98,0,4.91,125.65,0,0,0,0,68.72,6.87,0,0.98,28.47,1.96,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,1.06,3.19,0,6.37,0,0,0,0,248.52,0,0,0,0,192.23,3.19,0,3.19,26.55,0,0,0,5.31,0,1.06,1.06,1.06,1.06,0,2.12
 96-106,4.37,1.09,6.56,2.19,19.67,0,0,0,4.37,328.95,0,1.09,0,1.09,304.9,6.56,1.09,0,90.71,0,0,0,3.28,5.46,1.09,1.09,0,1.09,2.19,0
108-118,0.77,1.53,0.77,0.77,20.68,0,0.77,1.53,3.06,341.62,0,0,0.77,0,246.64,13.02,0,0,54.38,0,0.77,0.77,3.83,2.3,0,0,0.77,0.77,0,0
120,0,0,0,0,7.84,0,0,0,1.96,184.22,1.96,0,0,0,146.98,3.92,1.96,0,33.32,0,0,0,1.96,3.92,0,0,0,0,0,0
