stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,9,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,0,0,0,0,0,0,0,0.82,0,0,14.78,0,0,0,1.64,0,0,0,0.82,0,0,0,0
 36-46,0.81,0,0,0,0.81,0,0,0,15.31,0,0,17.72,14.5,0,0.81,2.42,0.81,0,0,0,0,0.81,0,0
 48-58,0.57,0,1.72,0,0,0,0,0.57,2.3,0,0,16.07,24.67,0.57,0.57,4.59,0,0,0,0.57,0.57,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,15.7,0,0,10.8,36.32,0.98,0,6.87,0,0,0,0.98,0.98,0,0,0
 72-82,0.98,0,3.93,0.98,0,0,1.96,0.98,6.87,0,0,1.96,15.71,1.96,0,2.94,0,0,0.98,0,0,0,0,0
 84-94,0,1.06,2.12,0,0,0,0,0,15.93,0,0,7.43,12.74,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,5.46,0,0,0,0,0,30.6,0,1.09,3.28,5.46,1.09,0,4.37,0,1.09,2.19,0,1.09,0,0,0
108-118,1.53,0.77,3.06,0,0,0.77,0,0,29.11,0.77,0,1.53,19.92,0.77,0,4.6,0,0.77,0.77,0,0.77,0.77,0.77,0.77
120,1.96,0,0,0,0,0,0,0,45.08,0,0,0,3.92,0,0,3.92,0,1.96,0,0,0,0,0,0
