stage,epidermis,eye,glial,gut,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,6.29,0,0,0,0,22.03,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,1.64,0.82,0.82,0,0.82,0
 36-46,0,3.22,0,0,0,0.81,2.42,0.81,0,0,0,1.61
 48-58,0,6.89,0,0,0,0,1.15,0.57,0,0,0,0
 60-70,0,4.91,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0.98,1.96,0,0.98,0,0.98,0.98,1.96,0.98,0,0,0
 84-94,0,1.06,0,0,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,0
