stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,3,1,0,1,0
 24-34,0,0,0,0,0,0.82,0,13.13,0,0,3.28,0
 36-46,0,0,0.81,0,0,0,0,35.45,0,0,7.25,0
 48-58,0,0,2.3,0.57,0,1.15,0,53.36,0,0,7.46,0
 60-70,0,0,6.87,0,0,0.98,0,69.69,0,0,7.85,0
 72-82,0,0,11.78,0.98,0,0.98,0.98,53.99,0,0,7.85,0
 84-94,0,0,4.25,2.12,0,0,0,22.3,0,0,6.37,0
 96-106,0,1.09,4.37,0,1.09,0,0,21.86,0,0,3.28,1.09
108-118,0,1.53,5.36,0,0,0.77,0,16.85,0,0,0,0
120,0,0,0,0,0,0,0,21.56,0,0,0,0
