stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,9.85,0,0,0.82,0,5.75,0,4.93,0,0,0,0,0
 36-46,0,1.61,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0,7.25,0,0,0,0,3.22,0,4.83,0,0,0.81,0,0
 48-58,0,0.57,0,0,1.15,0,0,0,0,0,0,0.57,0,0.57,0.57,0,5.74,0,0,0,13.77,0.57,0,1.15,0,3.44,0.57,2.3,0,0,0.57,0,0
 60-70,0.98,0,0,0,2.94,0,0.98,0,0.98,0,0.98,0.98,0,0,0.98,0.98,6.87,0,0,0,15.7,0,0,2.94,0,4.91,0,4.91,0,0,1.96,0,0.98
 72-82,0,0.98,0,0,12.76,1.96,0,1.96,6.87,3.93,0.98,2.94,0,0,0.98,3.93,23.56,0,0.98,0.98,35.34,0,1.96,3.93,0,11.78,0.98,4.91,0,0,0.98,0,0
 84-94,1.06,0,1.06,1.06,3.19,0,1.06,0,4.25,2.12,0,1.06,1.06,0,3.19,3.19,14.87,1.06,1.06,1.06,14.87,0,0,0,0,13.81,0,0,0,0,1.06,0,0
 96-106,0,0,2.19,0,4.37,0,1.09,0,3.28,6.56,0,3.28,0,0,0,3.28,15.3,0,1.09,1.09,14.21,0,1.09,1.09,0,13.11,0,0,0,1.09,1.09,1.09,0
108-118,0,0.77,0.77,0,3.83,0,0.77,0.77,0.77,4.6,0,3.06,0.77,0,0.77,6.89,13.02,0,0.77,0.77,15.32,0.77,0,2.3,0,15.32,1.53,1.53,0,0,0,1.53,0.77
120,0,3.92,0,0,1.96,0,3.92,0,3.92,13.72,0,1.96,3.92,0,0,5.88,13.72,0,1.96,0,33.32,0,0,1.96,1.96,23.52,1.96,0,1.96,0,1.96,1.96,0
