stage,blastomeres,eye,fast_muscle,glial,gut,iridophores,neural,olfactory,paraxial_mesoderm,periderm,somites
  3-4,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,6.13,0,0,6.13,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,2.63,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,1.96,0,0,0,0,0.98,0,0,0,0
 84-94,0,2.12,0,0,0,0,1.06,0,0,0,0
 96-106,0,6.56,0,0,1.09,0,2.19,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0
120,0,3.92,0,0,0,0,1.96,0,0,0,0
