stage,blastomeres,endoderm,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,2,0,0,2,0,1,1,1,0
 24-34,0,0,0.82,1.64,0,0,0,0,1.64,0,0.82,4.93,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.03,0,0,0,0.81,0
 48-58,0,0,0,1.72,0,0,0.57,0,0.57,0,0,3.44,0,0,0,2.3,0
 60-70,0,0,0,1.96,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,1.09,0,1.09,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0
