stage,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,periderm,spinal.cord
  3-4,171.31,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,6,0,0,0,2
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0.82
 36-46,0,0,0,0.81,0.81,0.81,3.22,0,2.42,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,1.96,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,4.37,1.09,1.09,0,1.09,2.19,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0
