stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,1,5,0,0,0,1,1,0,0
 24-34,0,0,0,0,1.64,0.82,1.64,0,0,6.57,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0.81,0,0,5.64,0,0,0,0,0,0,0
 48-58,0,0.57,1.15,0,0,0.57,5.74,0,0,4.02,0,0,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,2.94,5.89,0,0,3.93,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,12.76,10.8,0,0,4.91,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,1.06,3.19,3.19,1.06,0,3.19,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,1.09,0,0,1.09,6.56,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0,2.3,3.06,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0
