stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,8,9,0,0,0,0,1,194,172,2,0,0,0,0,0
 24-34,0,0.82,0,2.46,0.82,0,4.93,40.22,0,0,0.82,0,3.28,0.82,0.82,0,4.1,0,0,18.88,52.53,2.46,0,0,1.64,0,85.37,103.43,9.03,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,3.22,47.53,0,0.81,0,0.81,1.61,0,0,0,4.03,0,0,13.7,17.72,0,0,0,0,0,58.01,9.67,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.16,29.26,0,0.57,2.87,0,2.3,0,0,0,2.87,0,0,9.18,24.67,0,0,0,1.72,0,52.22,0,5.16,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,5.89,46.13,0.98,0.98,1.96,0.98,2.94,0,0,0,4.91,0.98,0,9.82,15.7,0,0,0,0.98,0,30.43,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,14.72,27.49,0,0,1.96,0,0.98,0.98,0,0,8.83,0,0,4.91,18.65,0,0,0,0,0,21.6,0,0.98,0.98,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,7.43,47.79,0,0,2.12,1.06,2.12,0,0,1.06,6.37,0,0,10.62,4.25,0,0,0,1.06,0,38.23,0,1.06,0,1.06,0,1.06,0
 96-106,0,0,0,4.37,3.28,0,12.02,76.5,1.09,0,2.19,1.09,5.46,0,1.09,2.19,5.46,1.09,0,10.93,7.65,0,0,1.09,2.19,0,45.9,0,1.09,0,0,2.19,0,0
108-118,0,0,0.77,1.53,0,0.77,4.6,85.02,0.77,0.77,3.06,0,4.6,0,0,0,2.3,0,0.77,18.38,9.19,0,0,0,2.3,0,31.4,0,0.77,0,0,0,0.77,0
120,0,0,0,5.88,0,0,0,58.79,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,9.8,9.8,1.96,1.96,0,1.96,0,11.76,0,0,0,0,0,0,0
