stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,6.29,0,0,0,0,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,0,15,2,0,5,0,0,0,228,0,2,2,1,1,0,0,0,0,8,0,0,1,1344,3,0,1,2,0,4,11,1,1,15,2172,0,0,1,0,0
 24-34,0,0,1.64,15.6,2.46,0,36.94,0,1.64,0.82,316.03,3.28,0.82,0.82,1.64,2.46,0.82,1.64,0,1.64,32.01,1.64,0,16.42,1719.69,4.1,9.03,6.57,0,0,12.31,0.82,1.64,2.46,8.21,2461.75,0,0,11.49,0,2.46
 36-46,0,0,0,4.83,1.61,0,34.64,0.81,1.61,0,257.01,0,0.81,0.81,1.61,0,0,0,0,0,27.39,0,0.81,5.64,872.54,0.81,3.22,1.61,0,0,10.47,0,0.81,0.81,0.81,1850.62,0,0,4.83,0,1.61
 48-58,0,0,0,3.44,0,0,47.63,0.57,0.57,1.15,339.12,0,0,0.57,1.72,0.57,0.57,0,0.57,0,16.07,0.57,0,4.02,236.41,0,2.3,1.15,0,0.57,4.59,0,0,0.57,0,1039.16,0,0,2.87,0,1.72
 60-70,0,0,0,5.89,0.98,0,42.21,0,0.98,0.98,340.59,0.98,0,0,0.98,0,0,0,0,0,14.72,0,0,4.91,99.13,0,0.98,0.98,0,0,0,0,0,0,0,330.77,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,51.05,0,0.98,0,481.01,0.98,0,0,0,0.98,0,0,0,0,18.65,0,0,2.94,86.39,0.98,0.98,0.98,0,0,2.94,0,0,0.98,0,103.07,0,0,1.96,0.98,0.98
 84-94,0,0,0,4.25,2.12,0,52.04,0,0,0,350.47,1.06,0,0,1.06,0,0,1.06,1.06,0,10.62,0,1.06,0,29.74,0,1.06,2.12,0,0,6.37,0,0,0,0,121.07,1.06,2.12,0,0,1.06
 96-106,0,0,0,7.65,0,2.19,38.25,0,1.09,0,297.25,2.19,0,0,1.09,0,0,0,2.19,1.09,10.93,1.09,0,0,41.53,0,1.09,3.28,0,0,6.56,0,1.09,1.09,0,68.85,0,0,3.28,0,0
108-118,0,0,0,5.36,1.53,0,7.66,1.53,0.77,0,274.21,1.53,0,0,0,0.77,0.77,0,1.53,0.77,9.96,0.77,0,2.3,28.34,0,0.77,0.77,0,0,2.3,0,0.77,0.77,0,41.36,3.06,0,1.53,1.53,0.77
120,0,0,0,3.92,0,0,7.84,0,1.96,0,250.85,0,0,0,1.96,0,0,0,0,0,3.92,0,0,0,25.48,0,0,0,0,0,5.88,0,0,0,0,37.24,0,0,0,0,0
