stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,496.5,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,10.51,0,0,0,10.51,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,15.77,0,47.32,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,18.88,0,3.15,0,22.03,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,793.04,6.29,0,0,40.91,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,166,4,0,0,1,0,0,2,0,0,30,2,0,0,0,0,7,0,0,4,27,1,0,0,0,0,5,0,2,0,1,8,0,0,2,0,0
 24-34,0,0,0,81.26,2.46,0,9.03,8.21,0,0,0,0,1.64,73.06,4.93,0,0.82,0,0,14.78,0,0,3.28,23.8,0,0.82,0,0,0,26.27,0,0,0,0.82,10.67,0,0,9.85,0,0
 36-46,0,0,0,32.23,0,0,2.42,11.28,0.81,6.45,0,0,2.42,83.79,1.61,0,0,0,0,18.53,0,0.81,1.61,16.11,0,0,0.81,0,0,24.98,0,0,0,0,1.61,0,0,14.5,0,0
 48-58,0,0,0,13.77,0,0,4.02,12.05,0.57,4.02,0,0,0.57,96.4,1.15,0.57,0,0,0,12.05,2.3,0.57,1.15,8.03,0,0,0.57,0,0.57,10.33,0,0,0,0,1.72,0,0.57,16.07,0,1.15
 60-70,0,0,0,26.5,0.98,0,5.89,14.72,4.91,6.87,0,0,0,116.8,0,0,0,0,0,27.48,0,0.98,3.93,12.76,0,0,0,0,0,13.74,0,0,0,0,0.98,0,1.96,15.7,0,0
 72-82,0,0,0,18.65,1.96,0,9.82,12.76,3.93,11.78,0.98,0,2.94,176.7,7.85,0.98,0,0,0,57.92,0,0.98,7.85,16.69,0,0,1.96,0,1.96,5.89,0,0,0,0,0.98,0,1.96,52.03,6.87,0
 84-94,0,0,0,28.68,1.06,0,6.37,23.36,1.06,3.19,1.06,0,1.06,237.9,6.37,1.06,0,0,0,52.04,4.25,0,4.25,5.31,1.06,1.06,0,0,3.19,24.43,0,0,0,0,0,1.06,2.12,38.23,2.12,0
 96-106,0,0,0,30.6,7.65,0,17.49,20.76,4.37,3.28,0,0,5.46,307.09,6.56,0,0,0,0,65.57,0,1.09,0,7.65,0,2.19,0,0,6.56,18.58,0,0,0,0,1.09,1.09,3.28,64.48,1.09,0
108-118,0,0,0,29.87,0.77,0.77,9.96,26.04,1.53,3.06,3.06,0,0.77,241.28,13.79,0.77,0.77,1.53,0.77,56.68,0.77,1.53,0,13.79,0,0.77,0.77,0,1.53,10.72,0,0,0,0,0.77,0.77,1.53,72.77,0.77,0.77
120,0,0,0,52.91,0,0,5.88,17.64,0,1.96,0,0,1.96,266.53,3.92,0,0,3.92,0,54.87,0,1.96,1.96,9.8,0,0,0,0,1.96,11.76,0,0,0,0,0,5.88,0,48.99,0,0
