stage,endoderm,epidermis,erythrocytes,eye,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0.81,0,0.81
 48-58,0,0.57,0,0.57,0.57,0,0,0,0,0,0.57,0.57,0.57
 60-70,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,1.96,0,1.96,0,1.96,0,0,0,0,1.96,0,0
 84-94,0,2.12,0,2.12,0,0,0,0,1.06,1.06,2.12,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0
120,0,1.96,3.92,0,0,0,1.96,0,0,0,5.88,0,0
