stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0.82,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,8.21,0,0,0,0,1.64,0.82,0,2.46,0,0,0,0,0
 36-46,0,0.81,0,0,75.73,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,7.25,0,0,1.61,0,0,0,0,0
 48-58,0,3.44,0,0,550.85,0,0,0.57,2.87,0,0,0.57,0,0,0,0,0,2.3,0.57,0,1.15,22.95,0,0.57,0,0,9.18,0,0,2.87,0,0,0,0,0.57
 60-70,0,0.98,0.98,0,1372.17,0,0.98,0,5.89,0,0,0,0.98,1.96,0,0,0,13.74,0,0.98,0.98,49.08,0,0,0,0,13.74,0.98,0,8.83,0,0,0,0,0.98
 72-82,0,8.83,0.98,0,1270.27,0,0,0,3.93,1.96,0.98,0,0,0,0,0,0.98,12.76,0,0,3.93,49.08,0,0,4.91,0,16.69,0,0.98,1.96,0.98,0,2.94,1.96,1.96
 84-94,0,8.5,0,0,1419.94,1.06,2.12,1.06,12.74,3.19,0,1.06,1.06,0,2.12,2.12,1.06,14.87,0,1.06,3.19,28.68,1.06,0,5.31,0,36.11,1.06,0,2.12,0,1.06,0,1.06,0
 96-106,0,9.84,1.09,0,789.04,0,1.09,0,5.46,1.09,0,0,4.37,0,1.09,0,3.28,7.65,1.09,0,0,18.58,0,0,4.37,0,26.23,0,0,1.09,0,0,4.37,1.09,2.19
108-118,0,4.6,0.77,0.77,490.98,0,0.77,0.77,5.36,0,0,0,0,0,0,1.53,1.53,6.89,0,0.77,1.53,28.34,0,0,3.06,0,13.79,0,0,0.77,0,1.53,1.53,0,0
120,0,1.96,0,0,431.15,0,3.92,1.96,3.92,0,0,0,0,0,1.96,1.96,0,7.84,0,0,3.92,21.56,0,1.96,5.88,0,25.48,0,0,0,0,0,3.92,0,0
