stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,18.88,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,17,3,8,0,0,0,6,1,1,1,0,1,1,0,0,0,8,0,0,2,135,1,0,0,1,2,0,5,4,0,4,47,0,0,2,0,0
 24-34,0,0,0,6.57,0,12.31,0,0.82,0,4.1,0,0,0,0,0,0,0,0.82,0,18.06,0,0,12.31,277.45,0,7.39,3.28,0,7.39,0,0,3.28,0,2.46,73.06,0,0,2.46,0,0.82
 36-46,0,0,0,3.22,0,32.23,0.81,2.42,0,13.7,0.81,0,0.81,0,0,0,0,0,0,12.89,0,0.81,6.45,256.2,0.81,3.22,0,0,0.81,0,0,0.81,0,0,49.95,0,0,0.81,0,0
 48-58,0,0,0,1.72,0,71.15,0,0,1.15,25.82,0,0,0,0.57,0,0,1.15,0,0,11.48,0,0,4.02,214.03,0,0.57,0.57,0,2.87,0,0,0,0.57,0,48.2,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0.98,134.47,0,0,0.98,35.33,0,0,0,0,0,0,0.98,0.98,0,13.74,0,0.98,0.98,181.58,0,3.93,0,0,1.96,0,0,0.98,0,0,36.32,0,0,0,0.98,0
 72-82,0,0.98,0,4.91,0.98,122.71,0.98,0.98,3.93,59.88,0,0.98,0,3.93,0.98,0,0.98,0,0,33.38,0,0,3.93,169.83,0,7.85,2.94,0,1.96,0,0,0.98,0.98,0,44.17,1.96,0,2.94,0.98,0.98
 84-94,0,1.06,0,12.74,1.06,98.77,0,2.12,2.12,32.92,1.06,0,2.12,7.43,1.06,0,4.25,1.06,0,22.3,1.06,0,2.12,122.13,0,3.19,8.5,0,12.74,0,0,3.19,0,0,10.62,0,0,2.12,0,0
 96-106,0,1.09,0,5.46,1.09,77.59,1.09,1.09,4.37,54.64,3.28,0,3.28,4.37,2.19,2.19,4.37,0,0,19.67,0,0,7.65,87.43,2.19,7.65,5.46,0,2.19,0,0,1.09,0,0,5.46,0,1.09,5.46,0,0
108-118,0,0,0,13.79,2.3,47.49,1.53,4.6,3.06,48.26,3.06,0,0.77,6.13,1.53,0,2.3,0,0.77,40.6,0,0.77,4.6,127.92,1.53,7.66,6.89,0,3.83,0,0,2.3,0.77,0,6.89,0.77,0.77,3.83,0,0.77
120,0,0,0,11.76,1.96,43.12,0,1.96,0,29.4,1.96,0,0,5.88,0,0,0,0,0,17.64,0,0,3.92,101.91,0,3.92,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0
