stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,10.51,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,99.89,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,50.35,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,4,0,1,0,0,0,0,0,0,0,2,0,1,63,2,0,1,1,6,6,1,4,20,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,25.45,0.82,0.82,0,0,0,0,0,0,0.82,9.03,0,4.1,101.79,0.82,0,1.64,0,3.28,0,1.64,0,22.98,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,26.59,0.81,3.22,0,0,0.81,0,0,0.81,0,6.45,0,0.81,59.62,0.81,0,0.81,0,3.22,0,0,0,11.28,0,0,1.61,0,0
 48-58,0,0,0,2.87,0.57,0,32.71,0,2.87,1.15,0,0,0,0,0,0,10.9,1.72,1.72,33.28,0.57,0.57,0.57,0,1.15,0,0,0,5.74,0,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,21.59,0,2.94,0,0,0,0,0,0,0,8.83,0.98,1.96,27.48,0,0.98,0,0,2.94,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,14.72,0,4.91,2.94,0,0,0.98,0.98,0,0,9.82,0.98,0,19.63,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,1.06,0,10.62,1.06,6.37,1.06,1.06,1.06,0,0,0,0,3.19,0,3.19,12.74,0,0,0,0,5.31,0,1.06,0,1.06,0,2.12,0,0,0
 96-106,0,0,0,1.09,0,0,9.84,0,7.65,1.09,0,1.09,0,0,0,0,4.37,0,0,19.67,0,0,0,0,5.46,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,3.06,1.53,0.77,9.96,0,3.06,1.53,0,1.53,0,0,0,0,3.06,0,0,10.72,0,0,0.77,0,3.83,0,0.77,0,0.77,0,0,0.77,0,0.77
120,0,0,0,7.84,1.96,0,7.84,1.96,7.84,1.96,0,1.96,0,0,0,1.96,5.88,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0
