stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,11,0,0,0,0,0,2,2,0,0,5,4,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,4.1,0.82,0,0,0,0,0.82,0,0,0,0,0,0,9.03,0,0,3.28,42.68,0.82,0.82,0,0,0,4.93,0,2.46,2.46,0.82,10.67,0,1.64,0,2.46
 36-46,0,0,0,1.61,0,0,11.28,1.61,0.81,0,1.61,0,0.81,0.81,0,0,0,0,2.42,8.86,0,0,0.81,63.65,0,2.42,0,0,0,3.22,0,0.81,2.42,0,12.89,0,0,0,0.81
 48-58,0,0,0,1.15,0,0,21.23,6.31,0.57,0,5.16,0.57,1.15,1.15,0,0,1.15,1.72,1.15,17.21,0,0.57,1.15,73.45,0,0,0.57,0,0,3.44,0,0.57,5.74,0,14.92,0.57,1.15,0,2.3
 60-70,0,0.98,0,1.96,0,0,41.22,2.94,0,0,20.61,0.98,0,2.94,0.98,0,1.96,1.96,0,18.65,0,0,1.96,97.17,0.98,0.98,0.98,0,0,6.87,0,0,0,0,21.59,0.98,0.98,0,2.94
 72-82,0,0,0,0.98,1.96,0,73.62,4.91,0.98,0.98,21.6,2.94,0,2.94,0,0,0.98,16.69,0.98,38.28,1.96,0,0,109.95,0,3.93,1.96,0,0.98,2.94,0,1.96,4.91,0,12.76,1.96,6.87,0,3.93
 84-94,0,0,0,6.37,3.19,0,56.29,4.25,0,0,9.56,3.19,0,15.93,2.12,3.19,0,83.9,3.19,16.99,0,0,4.25,55.23,0,1.06,4.25,0,0,16.99,0,2.12,10.62,0,3.19,2.12,2.12,1.06,1.06
 96-106,0,2.19,0,3.28,4.37,4.37,42.62,3.28,1.09,3.28,20.76,2.19,0,12.02,4.37,0,2.19,125.68,0,26.23,0,1.09,4.37,74.31,1.09,2.19,3.28,0,1.09,12.02,0,5.46,14.21,0,3.28,1.09,4.37,2.19,3.28
108-118,0,0.77,0,3.83,0.77,4.6,55.15,0.77,0,3.06,13.02,5.36,0,18.38,2.3,1.53,2.3,363.07,1.53,16.09,0.77,2.3,6.13,81.96,0.77,0,5.36,0,0,9.19,0,2.3,11.49,0,1.53,0.77,4.6,0.77,2.3
120,0,1.96,0,5.88,0,0,21.56,5.88,1.96,0,21.56,9.8,0,11.76,0,0,0,156.78,0,19.6,0,0,3.92,62.71,0,0,3.92,0,0,7.84,0,5.88,3.92,0,1.96,0,0,1.96,0
