stage,blastomeres,eye,fin.epithelia,glial,immune,mesenchyme,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,28.92,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,18.88,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,8.06,0,0,0.81,0,0.81
 48-58,0,2.3,0,0,0,1.15,6.89,0,0,1.15,0,0
 60-70,0,2.94,0,0,0,0,20.61,0,0,1.96,0,0
 72-82,0,4.91,0,0.98,0,1.96,27.49,0,0,0,0.98,0.98
 84-94,0,1.06,0,0,0,2.12,14.87,1.06,0,1.06,1.06,1.06
 96-106,0,6.56,0,0,0,2.19,7.65,0,0,1.09,6.56,0
108-118,0,6.13,0,0.77,0.77,0.77,16.09,0,0,0,13.79,0
120,0,9.8,0,0,0,0,37.24,0,0,0,9.8,0
