stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,65.89,1620.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,67.43,1060.43,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,13.14,0,0,0,0,0,134.06,5.26,0,39.43,0,13.14,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,22.03,0,0,0,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,2,2,4,0,0,0,0,1,1,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,0,1.64,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0.81,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,2.87,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,1.96,0.98,1.96,0,0,0,6.87,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,1.06,0,0,3.19,0,1.06,0,1.06,0,2.12,0,1.06,0,0,0,0,4.25,0,0,0
 96-106,0,0,0,2.19,0,0,2.19,0,2.19,0,0,1.09,0,0,0,0,0,2.19,0,2.19,0,1.09,0
108-118,0,0,0.77,0,0,1.53,0,0,0.77,0,0,0.77,1.53,0,0,0,0,2.3,0,1.53,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0
