stage,axial,blastomeres,endoderm,erythrocytes,eye,gut,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,1.96,0,0.98,0,3.93,0,0,0,0
 72-82,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,4.25,0,0,1.06,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,7.66,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
