stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,16,0,10,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,5,0,1,0,0,0
 24-34,0,9.03,0,33.66,0,1.64,0.82,0,0,0,0.82,0,0,5.75,0,0.82,5.75,0,0,0,8.21,0.82,2.46,0,0,0
 36-46,0,5.64,0,16.92,0,0,0,0,1.61,0,0,0,0,4.83,1.61,0,4.83,0,0,0,1.61,0,7.25,0,0,0
 48-58,0,9.75,0,21.8,0,0,0,0,1.15,0,0.57,0.57,0,4.59,1.15,1.15,8.03,0.57,0,0,1.15,0.57,5.16,0,0,0
 60-70,0,14.72,0,27.48,0.98,0.98,0.98,0,0,0,0,0,0.98,17.67,1.96,0,11.78,0,0,0,0,0.98,1.96,0.98,1.96,3.93
 72-82,0,16.69,0,34.36,0,0,0,0.98,0,0,0,0,0,20.61,5.89,0.98,25.52,0,1.96,0,1.96,0.98,5.89,0,5.89,15.71
 84-94,0,30.8,0,35.05,2.12,3.19,2.12,0,0,0,2.12,0,0,14.87,9.56,1.06,15.93,0,1.06,0,2.12,2.12,0,1.06,9.56,18.05
 96-106,0,33.88,1.09,40.44,3.28,1.09,1.09,0,0,1.09,2.19,0,1.09,16.39,12.02,1.09,13.11,0,2.19,2.19,1.09,4.37,2.19,0,5.46,36.06
108-118,0,21.45,0,32.94,2.3,4.6,1.53,0,0.77,0,5.36,0,0,16.85,5.36,0.77,13.79,0,0.77,0,4.6,3.06,0,0.77,2.3,19.92
120,0,11.76,0,23.52,0,0,0,0,1.96,0,0,0,0,5.88,0,0,17.64,0,3.92,1.96,3.92,0,0,0,5.88,19.6
