stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,heart,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,1,0,6,0,0,1,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,8.21,0,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,0.81,0,11.28,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,8.61,0,0.57,0.57,0,0,0.57,0.57,4.59,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,7.85,0,3.93,0,0,0,0,0,8.83,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,3.93,0,6.87,0,0,0,1.96,1.96,5.89,0,0,0,0,2.94,0,0
 84-94,0,1.06,0,0,3.19,0,1.06,0,0,3.19,1.06,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,2.19,0,1.09,3.28,0,1.09,5.46,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,4.6,0,0,1.53,0.77,0,2.3,0,0,0,0,0,0.77,1.53
120,0,0,0,0,3.92,0,5.88,0,0,1.96,1.96,0,13.72,0,0,0,0,1.96,0,0
