stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,3.15,9.44,0,0
 14-21,0,1,1,4,1,0,22,0,0,4,0,0,1,19,1,0,5,1,21,1,37
 24-34,0,0,0.82,0,0.82,0,8.21,0,0,1.64,0,0,0,19.7,0,9.03,3.28,0,4.1,0.82,22.16
 36-46,0,0,0,0,0.81,0,6.45,0,0,0,0,0,0,9.67,0,2.42,0.81,0,0,0,16.92
 48-58,0,0,0.57,0,5.16,0,3.44,0,0.57,0,0,0,0,7.46,0,2.87,1.72,0,0.57,0,10.9
 60-70,0,0,0,0,3.93,0.98,6.87,0,0,0.98,0,0,0,2.94,0,1.96,0.98,0,0,0,0.98
 72-82,0,0,0,0,4.91,0,3.93,0.98,0,0,0,0,0,1.96,0,6.87,0.98,0,0.98,0,3.93
 84-94,0,0,0,0,2.12,0,3.19,0,0,0,0,1.06,0,1.06,0,1.06,1.06,0,0,0,1.06
 96-106,0,0,0,0,3.28,0,1.09,0,0,0,1.09,0,0,1.09,0,5.46,1.09,0,0,0,1.09
108-118,0,0,0.77,0,0.77,0,2.3,0,0,1.53,0,0,0,0,0,3.83,2.3,0,1.53,0,1.53
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96
