stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1133.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,165.5,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,23.66,81.49,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,6.29,50.35,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,0,0,0,0,2,0,2,0,0,0,3,0,2,14,1,0,0,0,625,0,4,2,1,2,0,0,0,0,0
 24-34,0,0,0,0,10.67,0.82,0.82,0,0,0,0,0.82,1.64,0.82,0.82,4.93,8.21,0.82,2.46,41.86,0,0,0.82,0,1016.22,0,0,0,0,8.21,0,0,1.64,0,0.82
 36-46,0,0,0,0,4.83,0,5.64,4.83,0.81,1.61,0,0,0.81,0,0,6.45,10.47,0,0.81,33.03,0,0.81,0,0,1067.51,0,0,0.81,0,7.25,0,0,1.61,0,0
 48-58,0,0,0,0,8.61,0,11.48,8.61,1.15,2.3,0.57,0.57,0.57,0,0,4.59,4.59,0,1.72,26.97,0,0.57,0.57,0,700.04,0,0,0,0,5.16,0,0.57,0,0,0
 60-70,0,0,0,0,12.76,0,2.94,4.91,0,0.98,2.94,0,0.98,0,0,1.96,3.93,0,0,9.82,0,0,0,0,456.41,0,0,0.98,0,2.94,0.98,0,0,0,0
 72-82,0,0,0.98,0,26.5,0,4.91,4.91,0,0,8.83,0,1.96,0,0,0.98,2.94,0,0.98,6.87,0,0,0.98,0,349.47,0,0,0,0,0,1.96,0,0,0,0
 84-94,0,0,1.06,0,72.22,0,3.19,20.18,0,0,10.62,0,11.68,0,0,3.19,11.68,0,3.19,7.43,0,0,1.06,0,1192.67,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,3.28,0,85.24,0,8.74,14.21,0,2.19,6.56,2.19,12.02,0,1.09,4.37,7.65,0,0,19.67,1.09,1.09,1.09,0,858.98,0,0,1.09,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,98.81,0.77,6.89,19.92,0,0.77,11.49,3.06,9.19,0.77,2.3,3.06,15.32,0,0.77,11.49,0.77,0,0,0,726.13,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,80.35,0,0,13.72,0,0,5.88,0,9.8,0,0,0,9.8,0,0,11.76,0,0,0,0,427.23,0,0,0,0,0,5.88,1.96,0,1.96,0
