stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,1,0,1,1,1,0,0
 24-34,0,0,0,2.46,0,1.64,0,0.82,0,0,0,0,0,4.1,1.64,36.12,0,0,0,0,0,0,5.75,0,1.64
 36-46,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,15.31,0,0.81,0,0,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,5.16,0,0.57,0.57,0,0,0,0,2.3,0,13.77,0,0.57,0,1.15,0,0,1.72,0,0
 60-70,0,0,0,0,0,7.85,0,2.94,0,0,0,0,0.98,0.98,0,14.72,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,0.98,0,0,0,0.98,0,3.93,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.25,1.06,3.19,0,0,1.06,0,0,1.06,1.06,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,4.37,1.09,0,0,0,0,1.09,0,0,0,3.28,0,0,0,3.28,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,1.53,0,3.06,0.77,0,0,0,0,0,0,0.77,0
120,0,0,0,5.88,0,7.84,0,1.96,0,0,0,0,0,3.92,0,13.72,0,0,0,1.96,0,0,0,1.96,0
