stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,1,17,2,0,0,0,2,2,1,0,0,0,0,1,0,2,0,0,0,5,0,1,0,0,0,2,0,2,0,0,0,4,0,0
 24-34,0,5.75,0.82,1.64,3.28,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0,11.49,0.82,0,0.82,0,0,4.93,0,0,4.1,0,0,27.91,0,0.82
 36-46,0,2.42,0.81,0.81,0.81,0,1.61,0,1.61,0,0,1.61,0.81,0,0,0,0,0,0,28.2,0,0.81,0,0,0,2.42,0,0,0.81,0,0,23.36,0,0
 48-58,0,0,0,4.59,0,0,0.57,0,1.15,0,0,2.87,0,0,0.57,5.74,0,0,1.72,17.21,0,0,0,0,0,4.59,0,0,2.3,0,0,11.48,0,0
 60-70,0,2.94,1.96,4.91,0.98,0.98,14.72,0.98,0.98,0,0,4.91,0,0,0,16.69,0,1.96,0.98,38.28,0,0,0.98,0,0,4.91,0,0,1.96,0,0,18.65,0,0
 72-82,0,2.94,0,4.91,0,0.98,19.63,1.96,2.94,0,0.98,5.89,0,0,0,31.41,0,0.98,0,57.92,0,0,0.98,0,0,5.89,0,0,1.96,0,2.94,35.34,0.98,0
 84-94,0,4.25,1.06,9.56,0,1.06,21.24,2.12,6.37,2.12,1.06,8.5,0,0,0,25.49,0,5.31,0,26.55,0,1.06,2.12,0,1.06,19.12,1.06,0,2.12,0,0,20.18,2.12,0
 96-106,0,3.28,3.28,3.28,0,1.09,24.04,3.28,8.74,7.65,2.19,6.56,1.09,1.09,0,40.44,1.09,5.46,1.09,31.69,0,0,2.19,0,1.09,44.81,0,0,1.09,2.19,5.46,34.97,9.84,0
108-118,0,6.13,1.53,9.96,2.3,0.77,29.87,2.3,7.66,6.13,3.06,16.85,0,0.77,0,44.43,0.77,6.13,3.06,68.17,0,0,1.53,0,2.3,42.13,1.53,0,0.77,0.77,2.3,27.57,12.26,3.83
120,0,7.84,3.92,7.84,3.92,0,23.52,3.92,1.96,0,3.92,19.6,0,0,0,33.32,1.96,1.96,1.96,39.2,1.96,0,1.96,0,0,25.48,0,0,0,0,3.92,19.6,7.84,5.88
