stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,22,6,0,11,0,0,0,5,1,0,0,0,0,0,1,0,0,13,0,0,6,144,5,1,0,3,0,4,23,1,0,24,47,0,0,3,0,0
 24-34,0.82,0.82,7.39,3.28,0,28.73,0.82,3.28,0.82,6.57,0.82,0,0.82,0,2.46,0,2.46,0,0,22.16,0.82,0,12.31,265.96,2.46,3.28,3.28,0,0,9.03,0.82,0,0.82,2.46,58.28,0,0,4.1,0,0.82
 36-46,0,0,3.22,1.61,0,98.29,0.81,0,1.61,12.89,0,0,1.61,0,0.81,0.81,0.81,0.81,1.61,37.06,0,0.81,7.25,348.85,0,3.22,1.61,0,0,8.06,0,0,1.61,0,86.21,0,0,2.42,0,0.81
 48-58,0,0,2.87,1.72,0,130.83,1.15,0.57,1.15,22.38,0,0,0,0.57,0.57,0.57,1.15,0,0.57,53.36,0,1.72,8.03,273.13,5.74,0,0.57,0,0,6.31,0,0,0,0,69.43,0,0,0.57,0,1.72
 60-70,0,0,7.85,3.93,0,161.95,0,0.98,2.94,23.56,0.98,0,0.98,4.91,0,0.98,0.98,0,0,48.09,0,2.94,10.8,256.18,0.98,2.94,2.94,0,0,7.85,0,0.98,0,0,36.32,0,4.91,3.93,0,0
 72-82,2.94,0,7.85,8.83,0,180.63,0.98,3.93,4.91,40.25,5.89,0.98,0.98,0.98,0,0,1.96,0,0,88.35,0.98,5.89,8.83,266.03,3.93,0.98,3.93,0,0,6.87,0,0,0.98,0,17.67,0,2.94,7.85,4.91,0
 84-94,0,0,10.62,4.25,1.06,90.27,0,0,3.19,16.99,6.37,1.06,0,3.19,2.12,1.06,2.12,0,1.06,44.61,1.06,1.06,6.37,104.08,1.06,3.19,3.19,0,1.06,15.93,0,0,0,0,5.31,1.06,4.25,7.43,1.06,0
 96-106,1.09,0,16.39,12.02,0,81.96,1.09,1.09,1.09,26.23,5.46,0,0,2.19,1.09,1.09,1.09,2.19,0,38.25,2.19,0,3.28,111.47,2.19,4.37,2.19,0,1.09,19.67,0,1.09,0,0,3.28,0,2.19,4.37,3.28,1.09
108-118,0,0,11.49,6.13,0.77,52.85,0,0.77,1.53,15.32,3.83,0,0,3.06,2.3,0,0.77,0.77,0.77,28.34,1.53,0.77,5.36,98.04,0.77,4.6,6.13,0,0,15.32,0,0.77,0,0,3.06,0,0,6.13,2.3,1.53
120,1.96,0,15.68,11.76,1.96,45.08,1.96,1.96,0,15.68,0,0,1.96,7.84,1.96,0,1.96,3.92,0,33.32,1.96,0,7.84,90.15,0,0,7.84,0,0,19.6,0,1.96,0,0,5.88,0,0,9.8,5.88,0
