stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,14,464,93,0,264,0,0,0,128,17,4,11,2,0,3,3,2,3,893,2,0,793,7393,26,4,82,17,0,6,4,143,5,277,795,1940,0,0,25,0,14
 24-34,1.64,2.46,14.78,168.28,17.24,0,335.73,11.49,2.46,14.78,210.14,12.31,1.64,33.66,0,2.46,19.7,16.42,12.31,26.27,1885.51,0,4.1,823.32,6818.03,22.98,10.67,102.61,0.82,3.28,11.49,0,7.39,4.1,81.26,204.39,2209.74,0,0,136.26,0,77.16
 36-46,1.61,0,4.03,30.62,4.83,0,182.08,23.36,2.42,60.43,174.02,5.64,0,29.81,3.22,0,11.28,21.75,4.03,29.81,1762.8,3.22,42.7,586.53,2699.8,13.7,13.7,34.64,0,4.03,5.64,0,4.03,2.42,25.78,10.47,1480.01,0,3.22,80.57,0.81,58.81
 48-58,2.3,0,0,15.49,2.3,0,165.26,15.49,2.3,71.15,127.96,0,0,21.23,0.57,0,21.23,14.35,1.15,24.1,1883.23,1.72,71.15,390.76,732.18,2.3,4.59,20.66,0.57,7.46,2.87,0,0,1.15,7.46,0.57,335.1,0,6.31,41.31,2.3,81.48
 60-70,0,0,0,15.7,0,0,245.38,34.35,4.91,54.97,170.78,1.96,0,10.8,1.96,0.98,28.46,18.65,1.96,8.83,2018.99,0.98,97.17,249.31,433.83,6.87,7.85,22.58,0,21.59,2.94,0,0.98,1.96,6.87,0,80.48,0,40.24,32.39,22.58,63.8
 72-82,0,0.98,0,25.52,6.87,0,407.39,26.5,3.93,83.44,211.06,1.96,0,20.61,2.94,0,13.74,23.56,0.98,6.87,2548.39,2.94,114.85,300.39,387.76,6.87,10.8,32.39,0,29.45,3.93,0,0,2.94,8.83,0,50.06,0,67.73,36.32,66.75,48.1
 84-94,0,0,0,38.23,8.5,0,463.05,36.11,4.25,69.03,166.74,3.19,0,18.05,6.37,1.06,42.48,18.05,1.06,16.99,1972.2,0,116.82,248.52,289.94,10.62,38.23,24.43,0,23.36,6.37,0,0,3.19,14.87,0,35.05,1.06,72.22,46.73,80.71,61.6
 96-106,0,0,0,51.36,8.74,2.19,320.2,32.79,8.74,53.55,170.48,8.74,0,43.71,7.65,1.09,33.88,21.86,5.46,6.56,1853.47,3.28,92.89,217.48,375.94,9.84,37.16,56.83,0,52.46,14.21,0,0,4.37,16.39,0,25.14,3.28,65.57,39.34,89.61,64.48
108-118,0,0,0.77,29.87,2.3,0.77,186.13,36.77,1.53,50.55,166.98,6.89,0,19.15,2.3,1.53,41.36,17.62,2.3,16.85,1914.14,0.77,90.38,214.47,364.6,15.32,31.4,54.38,0.77,55.92,6.89,0,0,4.6,21.45,0,15.32,1.53,48.26,37.53,58.21,75.83
120,0,0,0,23.52,11.76,0,150.9,27.44,3.92,37.24,111.71,3.92,0,23.52,3.92,0,13.72,13.72,5.88,9.8,1454.16,3.92,90.15,190.1,299.85,19.6,21.56,39.2,0,56.83,3.92,0,0,1.96,7.84,0,15.68,0,52.91,27.44,66.63,29.4
